#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089590.1-p1      -            275 10934at5820          -            179  7.9e-113  372.9  18.1   1   1    1e-115  9.2e-113  372.7  18.1     1   179    97   275    97   275 0.99 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 10934at5820          -            179   3.2e-06   25.6   2.3   1   2    0.0013       1.2    7.4   0.0   148   178    45    75    37    78 0.89 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 10934at5820          -            179   3.2e-06   25.6   2.3   2   2   0.00045      0.41    9.0   0.4    40    91    88   146    75   147 0.61 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087685.1-p1      -            107 10934at5820          -            179    0.0018   16.6   1.3   1   1   4.4e-06    0.0041   15.5   1.3    65   112    46    90    19   107 0.81 | transcript=PVX_087685.1 | gene=PVX_087685 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin, putative | transcript_product=centrin, putative | location=Pv_Sal1_chr01:31271-32174(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 10934at5820          -            179     0.002   16.5   7.5   1   2    0.0015       1.4    7.3   0.1   137   173   366   403   331   408 0.70 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 10934at5820          -            179     0.002   16.5   7.5   2   2    0.0092       8.5    4.7   3.3    57    94   419   456   415   526 0.56 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 10934at5820          -            179    0.0025   16.2  13.8   1   2       1.6   1.5e+03   -2.6   0.3     9    47   154   190   147   193 0.69 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 10934at5820          -            179    0.0025   16.2  13.8   2   2   6.1e-06    0.0056   15.1   6.5    27   176   415   559   391   562 0.72 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 10934at5820          -            179    0.0078   14.6   4.1   1   1    0.0054       4.9    5.5   4.1    80    93    78    91    10   165 0.46 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10934at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10934at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10934at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:56 2026
# [ok]
