#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085255.1-p1      -           1030 1887at5820           -            670         0 1092.3  61.7   1   5   5.5e-05     0.061    9.9   0.2     1    27     1    27     1    39 0.85 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1887at5820           -            670         0 1092.3  61.7   2   5   3.5e-68   3.9e-65  218.7   1.0    17   137    94   214    87   215 0.98 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1887at5820           -            670         0 1092.3  61.7   3   5   4.2e-47   4.6e-44  149.1   6.0   137   226   280   384   277   391 0.90 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1887at5820           -            670         0 1092.3  61.7   4   5  7.5e-123  8.3e-120  399.4  10.0   215   458   407   674   392   686 0.89 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1887at5820           -            670         0 1092.3  61.7   5   5  1.4e-103  1.5e-100  335.8  16.8   456   670   769   997   763   997 0.94 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1887at5820           -            670   5.6e-48  162.1  21.0   1   5    0.0016       1.8    5.1   0.1    18    45   110   137   107   157 0.84 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1887at5820           -            670   5.6e-48  162.1  21.0   2   5   5.1e-51   5.6e-48  162.1  21.0    52   389   260   623   256   629 0.81 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1887at5820           -            670   5.6e-48  162.1  21.0   3   5       0.4   4.5e+02   -2.8   1.7   397   456   703   765   692   770 0.65 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1887at5820           -            670   5.6e-48  162.1  21.0   4   5      0.11   1.2e+02   -1.0   2.0   232   289   860   918   842   925 0.73 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1887at5820           -            670   5.6e-48  162.1  21.0   5   5      0.35   3.9e+02   -2.7   1.2   201   241  1133  1174  1122  1178 0.85 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   1   7     0.077        86   -0.5   5.7   384   484   165   279   151   320 0.73 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   2   7     0.072        80   -0.4   0.0    41    76   368   403   329   406 0.85 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   3   7   1.7e-13   1.9e-10   38.1  31.0    81   483   528   963   514   987 0.66 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   4   7         5   5.5e+03   -6.7  10.0   567   656  1015  1103   975  1120 0.53 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   5   7       1.4   1.5e+03   -4.6   2.5   475   541  1244  1307  1202  1323 0.52 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   6   7   8.1e-16     9e-13   45.7   9.0    45   200  1408  1586  1396  1677 0.68 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1887at5820           -            670   8.8e-26   88.7  72.0   7   7   2.2e-13   2.5e-10   37.7  16.0   271   547  1743  2018  1740  2022 0.79 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 1887at5820           -            670   1.3e-21   75.0   2.3   1   1   4.3e-23   4.8e-20   69.8   2.3    38   391   265   662   243   693 0.72 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1887at5820           -            670   6.5e-17   59.4  43.9   1   3   1.7e-15   1.9e-12   44.6  11.7    21   214   294   494   277   522 0.72 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1887at5820           -            670   6.5e-17   59.4  43.9   2   3     3e-10   3.3e-07   27.3  16.0   240   492   602   863   578   888 0.66 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 1887at5820           -            670   6.5e-17   59.4  43.9   3   3      0.71   7.9e+02   -3.7   1.0   267   298  1137  1170  1097  1192 0.65 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1887at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1887at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:10 2026
# [ok]
