#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084165.1-p1      -            226 11093at5820          -            195  1.5e-134  443.8   1.2   1   1    4e-137    2e-134  443.4   1.2     1   195     1   203     1   203 0.97 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095135.1-p1      -            170 11093at5820          -            195   1.3e-51  173.1   0.3   1   1   2.9e-54   1.5e-51  173.0   0.3     6   173     4   169     1   170 0.97 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 11093at5820          -            195   1.4e-51  173.1   0.2   1   1   3.4e-54   1.7e-51  172.8   0.2     6   174     4   170     1   178 0.96 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 11093at5820          -            195   3.9e-41  139.0   0.3   1   1   9.2e-44   4.6e-41  138.7   0.3     7   173    30   192    25   193 0.96 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 11093at5820          -            195   1.6e-39  133.8   1.4   1   1   4.4e-42   2.2e-39  133.3   1.4     3   173    90   261    88   262 0.91 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 11093at5820          -            195   4.7e-25   86.5   0.4   1   1   1.8e-27   8.8e-25   85.6   0.4    18   170     8   151     4   163 0.89 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123445.1-p1      -            276 11093at5820          -            195   9.8e-25   85.5   0.7   1   1   2.8e-27   1.4e-24   84.9   0.7     7   173    63   223    58   229 0.92 | transcript=PVX_123445.1 | gene=PVX_123445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr14:1444175-1445005(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 11093at5820          -            195   5.8e-21   73.2   0.3   1   3       1.5   7.4e+02   -2.2   0.0    27    59   170   204   144   251 0.57 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 11093at5820          -            195   5.8e-21   73.2   0.3   2   3       1.5   7.6e+02   -2.3   0.2    93   129   432   468   421   520 0.56 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 11093at5820          -            195   5.8e-21   73.2   0.3   3   3   1.1e-23   5.8e-21   73.2   0.3    53   169   615   731   585   736 0.84 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079815.1-p1      -            203 11093at5820          -            195   7.9e-21   72.7   0.2   1   1   2.7e-23   1.3e-20   72.0   0.2    18   166    53   191    47   201 0.83 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
