#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003905.1-p1      -           2748 179at5820            -           2330         0 3442.0 112.0   1   3         0         0 1443.2  47.6    72  1058   177  1301   155  1313 0.89 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 179at5820            -           2330         0 3442.0 112.0   2   3         0         0 1060.1  20.2  1048  1716  1317  2023  1307  2026 0.96 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 179at5820            -           2330         0 3442.0 112.0   3   3  9.7e-289  3.8e-286  950.9  28.3  1722  2329  2084  2747  2080  2748 0.94 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   1  10   4.9e-07   0.00019   16.5   3.2  1233  1403   198   369    84   405 0.72 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   2  10   5.1e-09     2e-06   23.1   4.8   848   988   478   621   454   640 0.72 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   3  10    0.0078       3.1    2.6   0.4  1101  1217   654   766   639   781 0.61 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   4  10   3.6e-17   1.4e-14   50.2   2.2  1236  1383   819   968   815   972 0.85 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   5  10     0.036        14    0.4   0.0   110   173  1004  1074   982  1083 0.65 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   6  10     1e-26     4e-24   81.8  12.8  1722  2037  1028  1330  1016  1336 0.73 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   7  10      0.23        91   -2.3   0.4  1066  1141  1403  1477  1373  1481 0.52 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 179at5820            -           2330   1.7e-66  222.4 109.9   8  10   7.4e-18   2.9e-15   52.4   7.0  1846  2048  1515  1732  1503  1749 0.79 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
