#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   1   6   2.1e-38   2.3e-35  120.4   0.3     1    79     1    82     1    88 0.95 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   2   6   3.4e-09   3.8e-06   23.9   0.1    79   113   130   170   127   174 0.77 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   3   6     3e-29   3.3e-26   90.2   8.3    97   205   244   372   237   377 0.82 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   4   6   8.6e-70   9.5e-67  224.1  18.3   206   358   462   614   459   622 0.98 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   5   6   4.2e-96   4.7e-93  311.0  25.0   358   543   638   823   634   827 0.98 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113335.1-p1      -            943 3954at5820           -            617  2.3e-274  909.9  94.5   6   6   4.6e-51   5.1e-48  162.2   8.3   540   617   866   943   853   943 0.93 | transcript=PVX_113335.1 | gene=PVX_113335 | organism=Plasmodium_vivax_Sal-1 | gene_product=trophozoite exported protein 1, putative | transcript_product=trophozoite exported protein 1, putative | location=Pv_Sal1_chr11:1906151-1908982(+) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 3954at5820           -            617     2e-06   24.9   8.1   1   1   1.8e-09     2e-06   24.9   8.1   539   609   339   408   312   414 0.75 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084305.1-p1      -           1754 3954at5820           -            617   0.00044   17.1   6.5   1   1   9.5e-07     0.001   15.9   6.5   557   605   420   467   411   473 0.88 | transcript=PVX_084305.1 | gene=PVX_084305 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr13:167631-172895(+) | protein_length=1754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089745.1-p1      -            730 3954at5820           -            617     0.001   15.9   7.4   1   1   1.6e-06    0.0017   15.1   7.4   544   607    61   122    42   129 0.79 | transcript=PVX_089745.1 | gene=PVX_089745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:797468-799660(+) | protein_length=730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080345.1-p1      -            271 3954at5820           -            617       1.3    5.7  17.6   1   2   6.1e-06    0.0068   13.2   2.8   556   608    35    87    15    96 0.87 | transcript=PVX_080345.1 | gene=PVX_080345 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:593577-595354(-) | protein_length=271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080345.1-p1      -            271 3954at5820           -            617       1.3    5.7  17.6   2   2      0.86   9.5e+02   -3.8  10.4   309   376    88   155    75   163 0.61 | transcript=PVX_080345.1 | gene=PVX_080345 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:593577-595354(-) | protein_length=271 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
