#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092830.1-p1      -            359 8787at5820           -            280  4.4e-148  490.2  43.0   1   2   2.8e-98   3.1e-95  316.8  25.5     1   176     6   205     6   210 0.91 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 8787at5820           -            280  4.4e-148  490.2  43.0   2   2   5.3e-53   5.8e-50  168.3   9.4   177   280   234   359   226   359 0.87 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8787at5820           -            280     2e-16   58.3  12.2   1   3   9.9e-17   1.1e-13   49.3   4.9     3   166   192   353   190   378 0.70 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8787at5820           -            280     2e-16   58.3  12.2   2   3   7.4e-05     0.082   10.4   0.2   211   269   578   636   500   640 0.85 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8787at5820           -            280     2e-16   58.3  12.2   3   3      0.07        77    0.6   0.0    10    65   655   720   648   774 0.73 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 8787at5820           -            280   2.5e-11   41.6   8.7   1   4   2.3e-14   2.5e-11   41.6   8.7     6   191    45   226    38   273 0.78 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 8787at5820           -            280   2.5e-11   41.6   8.7   2   4   0.00076      0.84    7.1   0.1   217   256   419   458   352   471 0.75 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 8787at5820           -            280   2.5e-11   41.6   8.7   3   4      0.91     1e+03   -3.1   0.1    13    76   512   583   505   630 0.59 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123920.1-p1      -           1143 8787at5820           -            280   2.5e-11   41.6   8.7   4   4      0.55     6e+02   -2.3   0.4   188   254   902   973   874   975 0.57 | transcript=PVX_123920.1 | gene=PVX_123920 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr14:1895609-1899566(+) | protein_length=1143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 8787at5820           -            280     3e-10   38.0   1.8   1   1     4e-13   4.4e-10   37.5   1.8     6   170     5   167     1   196 0.80 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 8787at5820           -            280   5.6e-05   20.8   0.5   1   2   7.2e-07   0.00079   17.0   0.1    26    72     4    51     1    85 0.83 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
