#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084870.1-p1      -            509 7533at5820           -            353  2.6e-190  630.6  42.1   1   3       1.1   8.4e+02   -2.6   0.1     1    13     1    13     1    17 0.88 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084870.1-p1      -            509 7533at5820           -            353  2.6e-190  630.6  42.1   2   3   1.1e-74   8.9e-72  240.7  23.8     5   166    23   223    19   229 0.89 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084870.1-p1      -            509 7533at5820           -            353  2.6e-190  630.6  42.1   3   3  5.4e-121  4.2e-118  393.1   7.0   165   353   308   509   293   509 0.95 | transcript=PVX_084870.1 | gene=PVX_084870 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr13:743462-745566(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081265.1-p1      -            447 7533at5820           -            353   1.2e-39  135.1   8.7   1   1   4.9e-42   3.9e-39  133.4   8.7     9   346    42   437    34   447 0.75 | transcript=PVX_081265.1 | gene=PVX_081265 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 protein WD40 domain, putative | transcript_product=chromatin assembly factor 1 protein WD40 domain, putative | location=Pv_Sal1_chr02:210496-211839(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 7533at5820           -            353   1.8e-21   75.2  12.6   1   2   1.7e-06    0.0014   16.5   0.6    13   132    64   207    54   252 0.67 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 7533at5820           -            353   1.8e-21   75.2  12.6   2   2     5e-20     4e-17   61.0   5.6   115   340   277   529   270   533 0.77 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 7533at5820           -            353     1e-06   26.7   3.1   1   2   5.5e-05     0.043   11.5   0.0   299   338    60    98    49   112 0.82 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 7533at5820           -            353     1e-06   26.7   3.1   2   2   1.8e-05     0.015   13.1   2.6   206   318   118   232    99   256 0.76 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7533at5820           -            353   2.9e-05   22.0   3.0   1   4    0.0055       4.3    4.9   0.0    95   132   141   180   133   192 0.77 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7533at5820           -            353   2.9e-05   22.0   3.0   2   4    0.0031       2.4    5.8   0.1   249   335   268   355   265   355 0.89 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 7533at5820           -            353   2.9e-05   22.0   3.0   3   4   6.2e-06    0.0049   14.6   0.2   209   279   330   400   306   425 0.71 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
