#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094445.1-p1      -            748 5031at5820           -            588  3.7e-286  948.6  17.6   1   2  1.5e-146  1.4e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094445.1-p1      -            748 5031at5820           -            588  3.7e-286  948.6  17.6   2   2  4.5e-146  4.2e-143  476.2   1.5   309   588   441   748   435   748 0.96 | transcript=PVX_094445.1 | gene=PVX_094445 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr08:256312-258558(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 5031at5820           -            588   1.1e-83  280.0  32.4   1   2   1.3e-54   1.2e-51  174.2  20.0    30   301   179   458   154   464 0.83 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110980.1-p1      -            886 5031at5820           -            588   1.1e-83  280.0  32.4   2   2   1.2e-35   1.1e-32  111.6   4.6   340   566   463   692   459   708 0.84 | transcript=PVX_110980.1 | gene=PVX_110980 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=Pv_Sal1_chr06:806604-809264(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 5031at5820           -            588   2.2e-12   44.6   3.9   1   2   8.2e-07   0.00076   16.3   0.3    75   149   161   233   143   333 0.80 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 5031at5820           -            588   2.2e-12   44.6   3.9   2   2   1.2e-10   1.1e-07   29.0   0.3   379   441   911   973   907   981 0.92 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 5031at5820           -            588   7.3e-11   39.5  23.6   1   2   3.7e-05     0.034   10.9   3.2    55   206    91   258    57   264 0.62 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 5031at5820           -            588   7.3e-11   39.5  23.6   2   2   3.8e-11   3.5e-08   30.7  12.5   238   559   547   905   531   916 0.68 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 5031at5820           -            588   9.1e-09   32.6  16.6   1   3     2e-09   1.9e-06   25.0   5.7    18   134   176   286   160   291 0.67 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 5031at5820           -            588   9.1e-09   32.6  16.6   2   3     0.074        68   -0.0   0.5   222   280   837   893   825   932 0.63 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 5031at5820           -            588   9.1e-09   32.6  16.6   3   3   7.8e-06    0.0072   13.1   0.1   375   402  1152  1180  1145  1183 0.79 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 5031at5820           -            588     0.035   10.8   0.1   1   2    0.0012       1.1    5.9   0.1    82   192   282   402   249   419 0.70 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 5031at5820           -            588     0.035   10.8   0.1   2   2     0.011        11    2.7   0.0   378   424   923   970   917   985 0.83 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5031at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:06 2026
# [ok]
