#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   1   6   1.7e-42   5.6e-40  135.6   0.7     1   101     1   107     1   121 0.93 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   2   6   9.3e-58     3e-55  186.1   4.1   112   222   273   383   259   425 0.92 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   3   6     0.065        21    1.4   0.4   212   239   541   568   532   587 0.56 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   4   6   6.9e-32   2.2e-29  100.5   1.9   235   321   656   745   635   756 0.82 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   5   6   5.4e-50   1.8e-47  160.4   0.9   321   412   785   876   779   883 0.94 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091015.1-p1      -           1333 2411at5820           -            715         0 1064.9  43.3   6   6  1.5e-154    5e-152  506.0   1.2   429   715  1028  1333  1004  1333 0.93 | transcript=PVX_091015.1 | gene=PVX_091015 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr09:171337-176255(+) | protein_length=1333 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   1   6    0.0091         3    4.3   2.2    13    53    15    54     1    62 0.80 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   2   6    0.0026      0.84    6.1   2.5    10    61    65   116    60   133 0.82 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   3   6     0.025       8.2    2.8   0.5   111   169   648   707   640   758 0.77 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   4   6    0.0061         2    4.8   1.5   297   404   751   860   748   862 0.78 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   5   6   7.5e-05     0.024   11.2   0.2   461   529   839   911   833   915 0.81 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002945.1-p1      -           1029 2411at5820           -            715   2.1e-22   77.5  30.5   6   6   9.8e-22   3.2e-19   67.0   0.0   603   686   928  1012   924  1021 0.90 | transcript=PVX_002945.1 | gene=PVX_002945 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr04:403097-406186(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 2411at5820           -            715   1.9e-11   41.3   9.9   1   3      0.13        41    0.5   2.0    55    89   511   546   482   563 0.77 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 2411at5820           -            715   1.9e-11   41.3   9.9   2   3   3.7e-06    0.0012   15.5   4.3   459   531   553   629   522   641 0.72 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 2411at5820           -            715   1.9e-11   41.3   9.9   3   3   2.8e-09   9.2e-07   25.8   0.0   604   688   644   727   632   732 0.90 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 2411at5820           -            715     9e-09   32.4  21.6   1   3   1.1e-08   3.4e-06   23.9   1.5    18    65    50    96    44   103 0.87 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117385.1-p1      -            326 2411at5820           -            715     9e-09   32.4  21.6   2   3   5.2e-07   0.00017   18.3   0.8    15    74    93   151    91   176 0.81 | transcript=PVX_117385.1 | gene=PVX_117385 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr12:1843903-1845413(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
