#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   1   5         0         0 1485.6   4.0     1   621     1   633     1   693 0.96 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   2   5  4.5e-280  8.4e-277  920.1   9.2   632  1033   705  1120   698  1125 0.99 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   3   5   0.00061       1.1    4.5   0.0  1030  1051  1178  1199  1171  1214 0.86 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   4   5  2.8e-196  5.2e-193  642.2  14.5  1056  1372  1252  1583  1239  1598 0.92 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095320.1-p1      -           2379 279at5820            -           1909         0 4107.3  82.6   5   5         0         0 1072.5  29.8  1360  1909  1759  2379  1736  2379 0.93 | transcript=PVX_095320.1 | gene=PVX_095320 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB1, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB1, putative | location=Pv_Sal1_chr08:1000860-1007999(-) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 279at5820            -           1909  6.4e-228  758.0  40.8   1   5   2.8e-21   5.2e-18   62.0  12.0    17   190    57   240    50   251 0.79 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 279at5820            -           1909  6.4e-228  758.0  40.8   2   5   3.2e-42   5.9e-39  131.4   0.1   266   443   265   445   239   450 0.92 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 279at5820            -           1909  6.4e-228  758.0  40.8   3   5  3.3e-128  6.1e-125  416.5   3.8   456   934   503   976   488   986 0.94 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 279at5820            -           1909  6.4e-228  758.0  40.8   4   5   1.9e-26   3.5e-23   79.1   0.1  1133  1230  1441  1536  1416  1587 0.88 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082395.1-p1      -           1946 279at5820            -           1909  6.4e-228  758.0  40.8   5   5   3.4e-28   6.3e-25   84.9   1.7  1424  1565  1787  1927  1772  1941 0.93 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 279at5820            -           1909  3.8e-141  470.3  21.1   1   6   2.5e-11   4.6e-08   29.0   1.4    17   120    12   119     5   154 0.79 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
