#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091400.1-p1      -            789 4929at5820           -            584         0 1091.3  77.3   1   3   2.5e-23   2.7e-20   70.6  30.1     1   137     1   210     1   220 0.73 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 4929at5820           -            584         0 1091.3  77.3   2   3       3.5   3.9e+03   -5.9  18.4    95   150   208   263   201   293 0.55 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 4929at5820           -            584         0 1091.3  77.3   3   3         0         0 1030.9  23.2   102   584   308   789   267   789 0.94 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 4929at5820           -            584   5.2e-14   49.8   6.8   1   2   7.7e-07   0.00085   16.1   0.4   155   207   392   444   350   453 0.75 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098940.1-p1      -           1072 4929at5820           -            584   5.2e-14   49.8   6.8   2   2   5.5e-13   6.1e-10   36.4   1.3   285   387   554   655   522   661 0.85 | transcript=PVX_098940.1 | gene=PVX_098940 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr07:373691-376909(-) | protein_length=1072 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 4929at5820           -            584   1.2e-08   32.1   2.2   1   2     0.053        58    0.1   0.0   156   182   238   264   231   399 0.84 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 4929at5820           -            584   1.2e-08   32.1   2.2   2   2   3.4e-11   3.7e-08   30.5   0.5   296   390   446   542   420   552 0.89 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 4929at5820           -            584      0.94    6.1  12.6   1   1   0.00083      0.92    6.1  12.6    60   148    35   126     7   143 0.50 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 4929at5820           -            584       5.8    3.4  16.2   1   1    0.0076       8.4    2.9  16.2    71   148   263   339   214   357 0.47 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:41 2026
# [ok]
