#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094985.1-p1      -            456 6278at5820           -            394  9.1e-249  823.3  20.1   1   2   5.1e-22   7.1e-19   66.4   8.3     5    54    30    80    27   100 0.83 | transcript=PVX_094985.1 | gene=PVX_094985 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=Pv_Sal1_chr08:715090-716460(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094985.1-p1      -            456 6278at5820           -            394  9.1e-249  823.3  20.1   2   2  1.6e-233  2.2e-230  762.8   4.1    49   394   109   454    97   454 0.98 | transcript=PVX_094985.1 | gene=PVX_094985 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=Pv_Sal1_chr08:715090-716460(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079875.1-p1      -            323 6278at5820           -            394   3.5e-65  218.9   1.8   1   1     3e-68   4.2e-65  218.6   1.8    93   377    43   321    28   323 0.94 | transcript=PVX_079875.1 | gene=PVX_079875 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1a, putative | transcript_product=methionine aminopeptidase 1a, putative | location=Pv_Sal1_chr10:171091-173116(+) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093540.1-p1      -            691 6278at5820           -            394   8.8e-62  207.7   5.9   1   3     0.004       5.5    4.2   0.1    63   117   152   209   119   212 0.70 | transcript=PVX_093540.1 | gene=PVX_093540 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=Pv_Sal1_chr01:621713-623788(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093540.1-p1      -            691 6278at5820           -            394   8.8e-62  207.7   5.9   2   3   6.1e-35   8.4e-32  108.9   3.0   131   255   251   376   236   409 0.91 | transcript=PVX_093540.1 | gene=PVX_093540 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=Pv_Sal1_chr01:621713-623788(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093540.1-p1      -            691 6278at5820           -            394   8.8e-62  207.7   5.9   3   3   2.8e-30   3.9e-27   93.6   0.0   248   387   543   686   524   690 0.90 | transcript=PVX_093540.1 | gene=PVX_093540 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=Pv_Sal1_chr01:621713-623788(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084905.1-p1      -            639 6278at5820           -            394   9.9e-09   33.0   3.5   1   3   7.2e-12   9.9e-09   33.0   3.5    11    64     3    56     1    67 0.82 | transcript=PVX_084905.1 | gene=PVX_084905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:760628-762547(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084905.1-p1      -            639 6278at5820           -            394   9.9e-09   33.0   3.5   2   3    0.0089        12    3.0   0.1   255   328   333   403   308   418 0.69 | transcript=PVX_084905.1 | gene=PVX_084905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:760628-762547(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084905.1-p1      -            639 6278at5820           -            394   9.9e-09   33.0   3.5   3   3         1   1.4e+03   -3.8   0.2    39    61   535   557   528   607 0.53 | transcript=PVX_084905.1 | gene=PVX_084905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:760628-762547(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6278at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:47 2026
# [ok]
