#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111390.1-p1      -            629 6323at5820           -            422  9.5e-199  658.8   7.6   1   2   3.8e-10   6.6e-08   30.1   0.1     2    65    74   180    73   200 0.68 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 6323at5820           -            422  9.5e-199  658.8   7.6   2   2  1.4e-192  2.5e-190  631.1   3.1    82   422   245   629   240   629 0.96 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   1   6   6.1e-08   1.1e-05   22.9   0.0   369   405   116   152    78   159 0.84 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   2   6   9.5e-10   1.6e-07   28.8   0.2   250   331   121   205   121   215 0.83 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   3   6   1.5e-05    0.0025   15.0   0.9   265   408   340   484   335   489 0.78 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   4   6   4.1e-06   0.00071   16.8   0.0   367   403   487   523   484   528 0.93 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   5   6    0.0048      0.83    6.7   0.1   369   404   531   566   525   576 0.82 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 6323at5820           -            422   6.7e-22   76.2  14.0   6   6   0.00047      0.08   10.1   0.1   244   279   624   659   611   660 0.89 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6323at5820           -            422   9.9e-17   59.2  10.1   1   4   9.6e-07   0.00017   18.9   0.4   247   318    33   108    27   108 0.87 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6323at5820           -            422   9.9e-17   59.2  10.1   2   4   1.3e-07   2.2e-05   21.8   0.6   194   242   106   155   100   170 0.90 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6323at5820           -            422   9.9e-17   59.2  10.1   3   4   1.3e-05    0.0023   15.2   0.1   223   282   177   235   167   241 0.83 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6323at5820           -            422   9.9e-17   59.2  10.1   4   4    0.0002     0.035   11.3   0.0   257   316   260   321   252   324 0.72 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 6323at5820           -            422   5.8e-14   50.1   5.1   1   4   1.4e-07   2.4e-05   21.7   0.2   166   279     7   121     3   125 0.88 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 6323at5820           -            422   5.8e-14   50.1   5.1   2   4   6.3e-07   0.00011   19.5   0.6   308   404    69   164    66   179 0.75 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
