#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081695.1-p1      -           1678 742at5820            -           1341         0 2547.3  57.9   1   3   1.5e-28   2.1e-25   86.9   0.8     1    65     1    65     1    88 0.89 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 742at5820            -           1341         0 2547.3  57.9   2   3         0         0 1221.0  19.1    71   698   117   887   101   896 0.93 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081695.1-p1      -           1678 742at5820            -           1341         0 2547.3  57.9   3   3         0         0 1249.3  23.3   694  1341   920  1678   906  1678 0.96 | transcript=PVX_081695.1 | gene=PVX_081695 | organism=Plasmodium_vivax_Sal-1 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=Pv_Sal1_chr02:565513-570549(+) | protein_length=1678 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   1   6      0.34   4.7e+02   -3.7   3.0    24   118    25   115    18   123 0.62 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   2   6   5.4e-24   7.4e-21   71.9  15.6   287   622   378   752   319   766 0.79 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   3   6       0.1   1.4e+02   -2.0   0.5   650   716  1088  1157  1073  1167 0.79 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   4   6   4.3e-12   5.9e-09   32.4   0.2   767   890  1176  1303  1171  1360 0.79 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   5   6   7.8e-13   1.1e-09   34.9   0.1   923  1026  1508  1609  1486  1613 0.76 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097770.1-p1      -           1914 742at5820            -           1341   3.1e-37  126.1  65.3   6   6   5.8e-06     0.008   12.1  15.3  1089  1280  1613  1815  1609  1821 0.65 | transcript=PVX_097770.1 | gene=PVX_097770 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase, putative | transcript_product=P-type ATPase, putative | location=Pv_Sal1_chr10:1176943-1182868(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 742at5820            -           1341   4.2e-16   56.1  25.0   1   4   1.5e-08   2.1e-05   20.7   4.9   300   619    55   370    24   389 0.65 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 742at5820            -           1341   4.2e-16   56.1  25.0   2   4   2.6e-06    0.0035   13.3   0.0   826   882   731   787   653   793 0.88 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
