#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   1  12   1.1e-29   5.9e-26   89.1   9.0     1    79    34   121    34   129 0.92 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   2  12   2.2e-46   1.2e-42  144.3   7.6    81   191   184   298   166   304 0.92 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   3  12   6.8e-31   3.8e-27   93.1   1.4   182   263   378   461   374   466 0.93 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   4  12   3.3e-13   1.8e-09   34.5   0.0   260   293   493   526   480   529 0.92 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   5  12       0.7   3.9e+03   -6.3   3.0   293   309   595   611   595   613 0.78 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   6  12   2.8e-23   1.6e-19   67.9   4.1   307   383   642   736   636   742 0.86 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   7  12   1.3e-78   7.3e-75  251.0   4.9   378   511   836   970   828   983 0.94 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   8  12     8e-43   4.4e-39  132.5   2.8   510   590   998  1080   995  1084 0.95 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9   9  12   1.8e-65   9.8e-62  207.5  13.4   594   725  1115  1254  1107  1258 0.92 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9  10  12   1.5e-36   8.1e-33  111.8   1.7   724   792  1300  1368  1296  1387 0.87 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091765.1-p1      -           2152 1047at5820           -            938         0 1236.9 132.9  11  12   5.2e-19   2.9e-15   53.7   3.6   787   869  1635  1735  1628  1759 0.74 | transcript=PVX_091765.1 | gene=PVX_091765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:815904-822362(-) | protein_length=2152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
