#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   1   7   4.9e-24   1.4e-20   71.7   0.4     1    55     3    59     3    61 0.89 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   2   7   7.7e-24   2.1e-20   71.1   0.1    54   104    86   136    83   152 0.92 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   3   7   7.7e-76   2.1e-72  243.0   1.2   103   304   241   483   223   498 0.87 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   4   7   3.2e-76   8.9e-73  244.2   1.3   301   478   534   743   512   749 0.89 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   5   7   6.7e-36   1.8e-32  111.0   3.3   477   578   869   979   863   986 0.93 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   6   7     7e-12   1.9e-08   31.6   0.0   577   616  1001  1045   996  1053 0.84 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100540.1-p1      -           1165 2955at5820           -            678  1.5e-260  864.8  40.9   7   7     1e-35   2.9e-32  110.3   1.1   615   678  1092  1155  1086  1155 0.97 | transcript=PVX_100540.1 | gene=PVX_100540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2179539-2183036(+) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2955at5820           -            678     0.004   14.0   0.0   1   2    0.0035       9.8    2.8   0.0   267   338   112   192    92   203 0.72 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2955at5820           -            678     0.004   14.0   0.0   2   2     4e-05      0.11    9.3   0.0   272   338   247   322   234   322 0.74 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2955at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:44 2026
# [ok]
