#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002860.1-p1      -            477 7442at5820           -            347  9.1e-156  516.6  22.3   1   4   4.8e-65   5.4e-62  208.2   8.0     1   111     1   111     1   121 0.98 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 7442at5820           -            347  9.1e-156  516.6  22.3   2   4   3.6e-27     4e-24   83.6   0.4   108   168   149   209   142   212 0.95 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 7442at5820           -            347  9.1e-156  516.6  22.3   3   4   7.2e-45     8e-42  141.8   0.2   181   277   279   383   254   388 0.89 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002860.1-p1      -            477 7442at5820           -            347  9.1e-156  516.6  22.3   4   4   1.6e-29   1.8e-26   91.4   0.0   277   347   402   475   392   475 0.92 | transcript=PVX_002860.1 | gene=PVX_002860 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:333998-336034(+) | protein_length=477 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 7442at5820           -            347   5.4e-25   86.5  44.1   1   3   9.6e-14   1.1e-10   39.5   5.3    11   154     7   152     1   179 0.83 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 7442at5820           -            347   5.4e-25   86.5  44.1   2   3   1.7e-06    0.0019   15.7  15.0     9   109   236   340   228   369 0.75 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 7442at5820           -            347   5.4e-25   86.5  44.1   3   3   8.1e-15   8.9e-12   43.0   8.3    10   106   372   465   364   521 0.83 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100995.1-p1      -            571 7442at5820           -            347   1.1e-14   52.5   8.1   1   1   1.6e-17   1.8e-14   51.9   8.1    10   120   398   505   392   555 0.76 | transcript=PVX_100995.1 | gene=PVX_100995 | organism=Plasmodium_vivax_Sal-1 | gene_product=TPR domain containing protein | transcript_product=TPR domain containing protein | location=Pv_Sal1_chr14:2571947-2573662(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087910.1-p1      -           1098 7442at5820           -            347   2.6e-07   28.4  10.8   1   2       2.2   2.4e+03   -4.4   8.2    77   156    13    94     7   112 0.64 | transcript=PVX_087910.1 | gene=PVX_087910 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:283255-286551(+) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087910.1-p1      -           1098 7442at5820           -            347   2.6e-07   28.4  10.8   2   2   2.3e-10   2.6e-07   28.4  10.8    10   117   841   948   832  1022 0.81 | transcript=PVX_087910.1 | gene=PVX_087910 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:283255-286551(+) | protein_length=1098 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 7442at5820           -            347     4e-05   21.2   7.7   1   2    0.0064       7.1    3.9   0.1    11    41   168   198   157   203 0.80 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
