#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   1   7   4.2e-56   7.7e-53  178.1   0.1     1    98     1    98     1   110 0.95 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   2   7   7.6e-43   1.4e-39  134.3   0.1    95   176   122   203   119   208 0.97 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   3   7   8.1e-51   1.5e-47  160.7   0.9   177   305   288   430   284   437 0.89 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   4   7   2.3e-25   4.2e-22   76.6   0.2   297   360   449   512   441   521 0.90 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   5   7   3.9e-36   7.2e-33  112.2   0.0   358   438   549   631   537   639 0.89 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   6   7     1e-15   1.9e-12   44.7   0.2   447   481   699   733   672   743 0.82 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124150.1-p1      -            971 3680at5820           -            620  1.1e-288  957.2  35.9   7   7     9e-83   1.7e-79  266.2   7.7   488   620   833   968   802   968 0.92 | transcript=PVX_124150.1 | gene=PVX_124150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2095389-2098549(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114230.1-p1      -            790 3680at5820           -            620   4.1e-10   37.0  40.5   1   3   2.9e-06    0.0054   13.5   6.1    14   179     7   185     3   194 0.72 | transcript=PVX_114230.1 | gene=PVX_114230 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=Pv_Sal1_chr11:1153796-1156742(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114230.1-p1      -            790 3680at5820           -            620   4.1e-10   37.0  40.5   2   3    0.0037       6.9    3.2   3.7   179   281   230   353   224   376 0.61 | transcript=PVX_114230.1 | gene=PVX_114230 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=Pv_Sal1_chr11:1153796-1156742(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114230.1-p1      -            790 3680at5820           -            620   4.1e-10   37.0  40.5   3   3   5.2e-11   9.5e-08   29.2  14.9   300   607   416   759   406   770 0.73 | transcript=PVX_114230.1 | gene=PVX_114230 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar transporter chaperone, putative | transcript_product=vacuolar transporter chaperone, putative | location=Pv_Sal1_chr11:1153796-1156742(-) | protein_length=790 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003940.1-p1      -            559 3680at5820           -            620     0.033   10.9   3.1   1   1   0.00023      0.43    7.2   3.1     1   133     1   157     1   164 0.64 | transcript=PVX_003940.1 | gene=PVX_003940 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr04:479485-481164(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
