#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   1   7   1.7e-56   3.2e-53  179.0  11.6     1   116   118   234   118   249 0.90 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   2   7     4e-38   7.4e-35  118.2   7.9   112   216   302   421   294   436 0.84 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   3   7         0         0 1219.3  46.7   198   798   513  1152   507  1159 0.95 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   4   7   1.8e-78   3.4e-75  251.8  11.3   794   920  1242  1369  1226  1372 0.95 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   5   7   1.9e-28   3.4e-25   86.1   0.0   917   971  1494  1548  1476  1552 0.90 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   6   7   5.6e-62     1e-58  197.2  10.4   970  1086  1658  1776  1652  1794 0.95 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123990.1-p1      -           2027 882at5820            -           1269         0 2416.9 144.8   7   7  8.2e-122  1.5e-118  395.4  15.9  1083  1269  1834  2023  1830  2023 0.98 | transcript=PVX_123990.1 | gene=PVX_123990 | organism=Plasmodium_vivax_Sal-1 | gene_product=potassium channel, putative | transcript_product=potassium channel, putative | location=Pv_Sal1_chr14:1949674-1955910(+) | protein_length=2027 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   1   6     8e-21   1.5e-17   60.9  40.5   264   639   398   780   374   781 0.81 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   2   6   1.6e-05      0.03   10.2   5.8   682   767   750   837   735   843 0.72 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   3   6   1.8e-15   3.3e-12   43.1   5.9   810   904   978  1065   942  1086 0.78 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084730.1-p1      -           1704 882at5820            -           1269   5.9e-40  135.1  94.9   4   6      0.17   3.2e+02   -3.2   0.0   907   940  1100  1133  1089  1137 0.80 | transcript=PVX_084730.1 | gene=PVX_084730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:583637-589021(-) | protein_length=1704 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
