#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113785.1-p1      -            723 4367at5820           -            599         0 1150.8  39.9   1   3  6.1e-228  4.8e-225  747.0   8.0     3   368     2   394     1   404 0.95 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 4367at5820           -            599         0 1150.8  39.9   2   3   8.3e-89   6.6e-86  287.6  10.3   360   521   448   615   427   620 0.96 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 4367at5820           -            599         0 1150.8  39.9   3   3   1.3e-40     1e-37  128.4   5.6   519   599   639   723   632   723 0.95 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 4367at5820           -            599   5.7e-18   63.2   0.2   1   2       0.2   1.6e+02   -1.0   2.4   500   539   293   331   282   336 0.81 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 4367at5820           -            599   5.7e-18   63.2   0.2   2   2   7.3e-21   5.7e-18   63.2   0.2   159   301   443   593   418   604 0.86 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 4367at5820           -            599   3.2e-09   34.3   0.3   1   2   1.7e-11   1.4e-08   32.2   0.0   171   293    65   185    58   208 0.78 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 4367at5820           -            599   3.2e-09   34.3   0.3   2   2      0.18   1.4e+02   -0.9   0.3   254   300   214   258   177   263 0.63 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 4367at5820           -            599   3.9e-09   34.0   0.3   1   2   2.2e-11   1.7e-08   31.9   0.0   171   292    66   185    59   205 0.78 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 4367at5820           -            599   3.9e-09   34.0   0.3   2   2      0.21   1.7e+02   -1.1   0.2   254   301   215   260   180   264 0.70 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 4367at5820           -            599   4.4e-09   33.8   0.3   1   2   2.4e-11   1.9e-08   31.7   0.0   171   292    65   184    58   204 0.78 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 4367at5820           -            599   4.4e-09   33.8   0.3   2   2      0.23   1.8e+02   -1.2   0.2   254   301   214   259   179   263 0.70 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
