#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   1  10   1.6e-44   8.8e-41  138.1   0.0     1    95    17   113    17   119 0.95 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   2  10   5.9e-32   3.3e-28   96.5   0.5    92   164   181   253   168   257 0.94 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   3  10   2.2e-33   1.2e-29  101.2   0.1   162   250   283   372   276   379 0.93 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   4  10   9.6e-37   5.3e-33  112.3   6.5   274   363   581   689   572   693 0.86 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   5  10   5.8e-73   3.2e-69  232.3   0.2   361   533   714   926   709   932 0.85 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   6  10   6.4e-70   3.6e-66  222.2   5.6   532   669   966  1106   963  1139 0.89 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   7  10   9.9e-20   5.5e-16   56.0   0.1   661   731  1140  1211  1131  1216 0.91 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   8  10   1.6e-32     9e-29   98.3   0.6   731   806  1502  1577  1498  1601 0.90 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4   9  10   9.6e-34   5.3e-30  102.4   0.5   792   890  1598  1696  1591  1699 0.93 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095425.1-p1      -           1976 833at5820            -           1112         0 1403.3  64.4  10  10   2.6e-86   1.5e-82  276.5   1.0   887  1111  1716  1972  1707  1973 0.90 | transcript=PVX_095425.1 | gene=PVX_095425 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1096310-1102406(+) | protein_length=1976 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/833at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:45 2026
# [ok]
