#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   1  22     2e-40   1.8e-37  126.5   2.6     1    74     9    82     9    97 0.90 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   2  22   5.6e-62   5.2e-59  198.0  12.1    73   185   115   228   109   236 0.94 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   3  22   1.5e-23   1.4e-20   70.5   5.7   184   261   252   338   246   362 0.79 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   4  22   1.3e-39   1.2e-36  123.8  10.6   265   375   432   564   393   577 0.78 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   5  22  1.6e-111  1.5e-108  362.3  37.4   376   565   658   847   649   850 0.98 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   6  22   1.9e-52   1.7e-49  166.4   3.3   545   679  1089  1228  1084  1249 0.91 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   7  22   3.1e-33   2.8e-30  102.6  13.6   705   790  1374  1462  1317  1469 0.80 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   8  22   2.1e-15   1.9e-12   43.5   0.0   789   832  1513  1556  1508  1567 0.92 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2   9  22   2.2e-08     2e-05   20.2  11.8   832   935  1634  1739  1627  1741 0.71 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  10  22   1.4e-11   1.3e-08   30.8  10.6   878   941  1730  1798  1722  1805 0.85 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  11  22   0.00032      0.29    6.4   5.9   930   961  1813  1844  1806  1851 0.89 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  12  22   2.4e-07   0.00022   16.7  17.2   957  1027  2001  2070  1943  2085 0.72 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  13  22   2.7e-24   2.5e-21   73.0   0.0  1030  1097  2119  2187  2071  2196 0.87 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  14  22   6.3e-31   5.8e-28   95.0   5.4  1097  1190  2398  2497  2387  2502 0.88 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  15  22      0.14   1.3e+02   -2.3   0.0  1188  1209  2522  2543  2517  2559 0.81 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  16  22     1e-07   9.6e-05   18.0   0.5  1205  1235  2581  2611  2577  2625 0.85 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  17  22         3   2.7e+03   -6.8   9.1   289   382  2639  2724  2617  2731 0.52 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  18  22   1.9e-81   1.7e-78  262.6  22.5  1226  1406  2720  2910  2708  2920 0.86 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  19  22   1.7e-80   1.6e-77  259.4  18.7  1385  1603  2917  3173  2905  3224 0.81 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  20  22   1.2e-73   1.1e-70  236.6  23.4  1605  1787  3267  3498  3250  3525 0.81 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  21  22   1.8e-88   1.7e-85  285.8  30.2  1778  2010  3518  3800  3507  3824 0.81 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085935.1-p1      -           4108 2224at5820           -           2255         0 2797.6 399.2  22  22  2.9e-121  2.7e-118  394.6  28.6  2009  2255  3831  4108  3818  4108 0.88 | transcript=PVX_085935.1 | gene=PVX_085935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1646010-1658701(+) | protein_length=4108 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2224at5820           -           2255   5.1e-08   28.8   6.7   1   3    0.0034       3.2    3.0   0.1  1333  1364    69   100    64   107 0.90 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
