#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087760.1-p1      -            805 3079at5820           -            559         0 1042.5  57.2   1   4  3.8e-232  2.1e-229  761.1  28.2     1   363     1   364     1   377 0.99 | transcript=PVX_087760.1 | gene=PVX_087760 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr01:127878-130295(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087760.1-p1      -            805 3079at5820           -            559         0 1042.5  57.2   2   4   8.4e-65   4.7e-62  208.7   0.7   360   470   398   507   392   512 0.94 | transcript=PVX_087760.1 | gene=PVX_087760 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr01:127878-130295(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087760.1-p1      -            805 3079at5820           -            559         0 1042.5  57.2   3   4   8.4e-21   4.6e-18   63.4  11.1   460   539   525   628   516   634 0.80 | transcript=PVX_087760.1 | gene=PVX_087760 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr01:127878-130295(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087760.1-p1      -            805 3079at5820           -            559         0 1042.5  57.2   4   4   5.8e-08   3.2e-05   21.1   0.0   528   559   774   805   750   805 0.81 | transcript=PVX_087760.1 | gene=PVX_087760 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr01:127878-130295(+) | protein_length=805 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3079at5820           -            559   2.9e-09   34.4   7.3   1   4   8.9e-05     0.049   10.6   0.0   382   453   122   194   110   211 0.88 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3079at5820           -            559   2.9e-09   34.4   7.3   2   4    0.0099       5.5    3.8   0.8   391   470   380   458   348   478 0.76 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3079at5820           -            559   2.9e-09   34.4   7.3   3   4     4e-06    0.0022   15.0   0.0   394   453   508   567   491   603 0.86 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 3079at5820           -            559   2.9e-09   34.4   7.3   4   4     0.002       1.1    6.1   0.0   418   451   626   659   617   660 0.90 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3079at5820           -            559   6.5e-06   23.4   7.4   1   4      0.53   2.9e+02   -1.9   0.2   409   457   175   223   173   256 0.79 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3079at5820           -            559   6.5e-06   23.4   7.4   2   4    0.0003      0.17    8.8   0.0   398   453   297   353   283   357 0.83 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3079at5820           -            559   6.5e-06   23.4   7.4   3   4   1.2e-07   6.5e-05   20.1   0.0   384   451   325   393   322   402 0.85 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 3079at5820           -            559   6.5e-06   23.4   7.4   4   4    0.0076       4.2    4.2   0.3   384   508   409   534   404   562 0.63 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3079at5820           -            559   1.1e-05   22.6   2.1   1   3   3.2e-05     0.018   12.0   0.1   399   452    89   142    68   160 0.85 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3079at5820           -            559   1.1e-05   22.6   2.1   2   3    0.0022       1.2    6.0   0.1   392   451   169   228   161   240 0.91 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 3079at5820           -            559   1.1e-05   22.6   2.1   3   3     0.016       8.8    3.1   0.0   385   451   244   316   232   322 0.72 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   1   6   6.3e-08   3.5e-05   20.9   6.3   327   458    18   146    10   176 0.73 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   2   6      0.26   1.4e+02   -0.9   0.8   199   268   169   235   156   244 0.57 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   3   6       2.8   1.5e+03   -4.3   0.4   463   494   372   403   353   418 0.65 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   4   6       0.3   1.7e+02   -1.1   0.1   420   451   609   639   605   663 0.85 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   5   6     0.072        40    1.0   0.1   198   268   655   722   640   732 0.77 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 3079at5820           -            559   3.5e-05   20.9   6.3   6   6   1.1e-05    0.0061   13.5   0.5   386   451   859   925   825   934 0.88 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 3079at5820           -            559   0.00017   18.7   6.9   1   4   0.00028      0.15    8.9   0.2   393   457   225   289   186   301 0.83 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 3079at5820           -            559   0.00017   18.7   6.9   2   4   0.00058      0.32    7.9   0.1   196   268   257   330   238   338 0.61 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 3079at5820           -            559   0.00017   18.7   6.9   3   4   0.00058      0.32    7.9   0.1   389   451   350   413   344   436 0.86 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 3079at5820           -            559   0.00017   18.7   6.9   4   4    0.0098       5.4    3.8   0.0   409   450   456   497   427   498 0.81 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
