#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   1   6  9.3e-109  8.6e-106  353.4   6.4     1   214     1   216     1   220 0.98 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   2   6   4.2e-30   3.9e-27   93.4   7.2   211   265   257   311   252   314 0.95 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   3   6  5.1e-128  4.7e-125  417.0  13.2   262   525   362   635   355   641 0.97 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   4   6   2.3e-22   2.1e-19   67.8   0.0   524   590   700   776   692   782 0.90 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   5   6   7.6e-31     7e-28   95.9   2.5   585   676   836   955   830   962 0.85 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 3350at5820           -            688         0 1013.5  61.6   6   6    0.0018       1.6    5.4   1.2   672   688   980   996   964   996 0.84 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079845.1-p1      -            930 3350at5820           -            688   6.4e-41  138.9  30.2   1   2     7e-44   6.4e-41  138.9  30.2    34   488     6   462     1   472 0.88 | transcript=PVX_079845.1 | gene=PVX_079845 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit beta, putative | transcript_product=AP-1 complex subunit beta, putative | location=Pv_Sal1_chr10:144521-148368(+) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079845.1-p1      -            930 3350at5820           -            688   6.4e-41  138.9  30.2   2   2       0.4   3.7e+02   -2.4   0.9    10    94   491   579   482   637 0.60 | transcript=PVX_079845.1 | gene=PVX_079845 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit beta, putative | transcript_product=AP-1 complex subunit beta, putative | location=Pv_Sal1_chr10:144521-148368(+) | protein_length=930 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081805.1-p1      -            902 3350at5820           -            688   9.6e-16   55.7  11.1   1   3     1e-18   9.6e-16   55.7  11.1    42   206    12   180     7   189 0.79 | transcript=PVX_081805.1 | gene=PVX_081805 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=Pv_Sal1_chr02:676592-679890(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081805.1-p1      -            902 3350at5820           -            688   9.6e-16   55.7  11.1   2   3      0.37   3.4e+02   -2.3   0.2   419   475   231   291   219   300 0.68 | transcript=PVX_081805.1 | gene=PVX_081805 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=Pv_Sal1_chr02:676592-679890(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081805.1-p1      -            902 3350at5820           -            688   9.6e-16   55.7  11.1   3   3   6.1e-05     0.056   10.2  25.6   350   608   317   582   301   633 0.75 | transcript=PVX_081805.1 | gene=PVX_081805 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit beta, putative | transcript_product=AP-4 complex subunit beta, putative | location=Pv_Sal1_chr02:676592-679890(-) | protein_length=902 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
