#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091136.1-p1      -           1362 2713at5820           -            991         0 1286.1   0.0   1   1         0         0 1284.2   0.0     1   991     1  1357     1  1357 0.85 | transcript=PVX_091136.1 | gene=PVX_091136 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:279221-283497(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 2713at5820           -            991     0.011   11.9  31.5   1   1   3.4e-05     0.013   11.7  31.5   496   676    65   252    31   366 0.58 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 2713at5820           -            991     0.078    9.1  19.0   1   1   0.00034      0.12    8.4  19.0   507   645   120   254    50   293 0.38 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123325.1-p1      -            371 2713at5820           -            991      0.19    7.8  26.5   1   1    0.0006      0.22    7.6  26.5   474   679    14   171     2   328 0.45 | transcript=PVX_123325.1 | gene=PVX_123325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1355876-1356991(+) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 2713at5820           -            991      0.39    6.7  21.2   1   1    0.0016       0.6    6.2  21.2   547   667    50   168    19   184 0.50 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 2713at5820           -            991       1.1    5.3  22.7   1   1    0.0036       1.3    5.0  22.7   527   670   104   233    23   251 0.37 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086225.1-p1      -            132 2713at5820           -            991       1.1    5.2  13.4   1   1    0.0032       1.2    5.2  13.4   530   613     7    90     1   126 0.37 | transcript=PVX_086225.1 | gene=PVX_086225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1932389-1932922(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 2713at5820           -            991       1.4    4.9  32.3   1   1    0.0045       1.7    4.7  32.3   484   639   103   265    48   303 0.36 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123090.1-p1      -            270 2713at5820           -            991       1.9    4.5  30.2   1   1     0.006       2.2    4.3  30.2   489   642    14   185     1   215 0.48 | transcript=PVX_123090.1 | gene=PVX_123090 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor SUI1, putative | transcript_product=translation initiation factor SUI1, putative | location=Pv_Sal1_chr14:1123564-1124947(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 2713at5820           -            991       2.3    4.2  27.4   1   1    0.0085       3.1    3.8  27.4   533   716    81   287    32   313 0.38 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101130.1-p1      -            205 2713at5820           -            991       2.6    4.0  31.3   1   1    0.0088       3.3    3.7  31.3   511   643    25   167    16   195 0.40 | transcript=PVX_101130.1 | gene=PVX_101130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2662851-2663816(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 2713at5820           -            991       3.6    3.6  30.9   1   2    0.0018      0.67    6.0   6.4   577   677    74   180     9   188 0.55 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
