#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115230.1-p1      -            534 5839at5820           -            397  1.1e-204  678.0  30.4   1   4      0.22     2e+02   -1.2   0.0     1    13    14    26    14    30 0.89 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 5839at5820           -            397  1.1e-204  678.0  30.4   2   4    4e-158  3.7e-155  515.0  10.5    12   281    63   340    53   344 0.95 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 5839at5820           -            397  1.1e-204  678.0  30.4   3   4   3.5e-41   3.3e-38  129.9   5.2   278   372   362   474   352   476 0.87 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 5839at5820           -            397  1.1e-204  678.0  30.4   4   4   3.2e-14     3e-11   41.1   0.1   357   397   491   534   488   534 0.84 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 5839at5820           -            397   3.6e-20   70.5   8.1   1   2   3.9e-23   3.6e-20   70.5   8.1    44   201    11   168     4   173 0.90 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 5839at5820           -            397   3.6e-20   70.5   8.1   2   2      0.64   5.9e+02   -2.7   0.9   226   276   309   357   301   390 0.62 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 5839at5820           -            397   1.4e-18   65.2   0.3   1   2   1.6e-21   1.4e-18   65.2   0.3    53   194     4   148     1   181 0.87 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 5839at5820           -            397   1.4e-18   65.2   0.3   2   2       1.1     1e+03   -3.5   0.0   261   293   306   339   296   347 0.67 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 5839at5820           -            397   3.9e-11   40.7  18.1   1   4   1.2e-10   1.1e-07   29.3   5.3    38   181   200   348   187   366 0.74 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 5839at5820           -            397   3.9e-11   40.7  18.1   2   4   1.7e-07   0.00016   19.0   0.1    25   123   642   751   613   761 0.75 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 5839at5820           -            397   3.9e-11   40.7  18.1   3   4      0.12   1.1e+02   -0.3   0.5   143   181   817   855   803   967 0.69 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
