#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   1   9  1.4e-184    8e-181  601.7  21.4     1   259     1   259     1   295 0.98 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   2   9   1.1e-07    0.0006   16.4   4.2   246   283   340   378   327   385 0.80 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   3   9   8.9e-06     0.049   10.1   5.6   220   326   390   504   382   518 0.78 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   4   9   2.4e-06     0.013   12.0   0.2   306   354   612   663   598   677 0.75 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   5   9     0.018     1e+02   -0.8   0.2   341   369   695   723   683   735 0.81 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   6   9   3.5e-16   1.9e-12   44.5   0.1   364   438   775   858   749   872 0.84 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   7   9  5.5e-125    3e-121  404.5  60.9   478   745  1177  1474  1153  1477 0.88 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   8   9   1.5e-49   8.4e-46  154.9  10.4   746   843  1506  1606  1502  1609 0.96 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118525.1-p1      -           1697 866at5820            -            888         0 1262.0 162.8   9   9   5.3e-20   2.9e-16   57.2   5.9   844   888  1653  1697  1651  1697 0.97 | transcript=PVX_118525.1 | gene=PVX_118525 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2793884-2799168(-) | protein_length=1697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/866at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/866at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:02 2026
# [ok]
