#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   1   8   2.6e-74   2.4e-71  237.9  14.0     6   162    13   175     1   181 0.92 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   2   8  2.2e-123  2.1e-120  400.8  28.0   152   353   221   422   218   431 0.97 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   3   8  6.4e-143  5.9e-140  465.7  35.0   349   599   571   821   554   847 0.94 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   4   8  3.6e-227  3.3e-224  745.4  52.1   591  1049   875  1479   873  1483 0.96 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   5   8         0         0 3212.8 114.6  1043  2497  1556  3089  1545  3098 0.98 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   6   8   7.8e-24   7.2e-21   70.4   0.3  2482  2553  3210  3290  3208  3294 0.91 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   7   8  1.3e-255  1.2e-252  839.7  19.4  2548  2928  3318  3699  3312  3705 0.98 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 27at5820             -           4874         0 10224.4 466.7   8   8         0         0 4286.9 149.5  2924  4874  3781  5861  3763  5861 0.97 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   1  12         6   5.5e+03  -44.9  58.8   593  1111    41   564    35   590 0.62 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   2  12         6   5.5e+03  -16.0  20.1  1112  1275   702   854   666  1113 0.61 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   3  12     1e-31   9.3e-29   96.6  39.1  1252  1719  1374  1856  1329  1861 0.80 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   4  12    1e-105  9.6e-103  342.2  16.8  1746  2203  1939  2392  1932  2403 0.89 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   5  12   5.3e-46   4.9e-43  144.0   6.4  2208  2467  2454  2710  2450  2718 0.91 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   6  12   5.4e-22     5e-19   64.3  14.6  2600  2893  2962  3253  2936  3268 0.86 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   7  12   7.9e-19   7.3e-16   53.7   2.9  2936  3097  3325  3484  3311  3496 0.88 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   8  12   6.2e-78   5.7e-75  250.0  45.6  3158  3797  3494  4102  3484  4109 0.90 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9   9  12   1.1e-30     1e-27   93.1   6.6  3800  3969  4251  4421  4248  4434 0.92 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9  10  12      0.24   2.2e+02   -4.3   0.2  3981  4031  4495  4549  4489  4569 0.73 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9  11  12     1e-47   9.7e-45  149.6  13.8  4155  4539  4620  5025  4581  5031 0.82 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 27at5820             -           4874         0 1129.1 312.9  12  12   4.7e-21   4.3e-18   61.1   7.0  4619  4870  5031  5268  5004  5272 0.88 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   1   6         6   5.5e+03  -27.6  39.3   612  1085   701  1243   648  1383 0.60 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   2   6  2.8e-121  2.6e-118  393.9  10.5  1491  2153  1511  2183  1476  2194 0.88 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   3   6   3.2e-50     3e-47  158.0   0.3  2159  2401  2228  2475  2210  2493 0.88 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   4   6   3.6e-30   3.3e-27   91.4   2.2  2619  3100  2751  3203  2734  3211 0.79 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   5   6   7.1e-97   6.6e-94  312.8  51.4  3160  4490  3211  4583  3204  4800 0.82 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 27at5820             -           4874  1.1e-278  926.2 134.0   6   6   1.1e-05      0.01   10.1   0.0  4718  4873  4881  5029  4864  5030 0.86 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 27at5820             -           4874  7.2e-263  873.7 275.1   1  13         6   5.5e+03  -15.5  33.3  1012  1215  1054  1252  1050  1264 0.70 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
