#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084300.1-p1      -            910 3859at5820           -            494  1.4e-245  814.0  78.7   1   4   2.4e-24   1.7e-21   74.9  10.0     1    61     1    65     1    69 0.90 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 3859at5820           -            494  1.4e-245  814.0  78.7   2   4   3.1e-68   2.2e-65  219.7  27.6    59   201   127   290   121   302 0.88 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 3859at5820           -            494  1.4e-245  814.0  78.7   3   4   5.4e-44   3.8e-41  139.7   1.8   182   276   397   494   388   501 0.93 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 3859at5820           -            494  1.4e-245  814.0  78.7   4   4  4.1e-120  2.8e-117  390.8  15.8   294   493   707   905   643   906 0.90 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3859at5820           -            494   2.4e-14   51.3   0.4   1   4   3.5e-07   0.00024   18.3   0.0   341   435    25   115    11   125 0.81 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3859at5820           -            494   2.4e-14   51.3   0.4   2   4    0.0002      0.14    9.2   0.0   390   447   125   182   117   210 0.83 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3859at5820           -            494   2.4e-14   51.3   0.4   3   4   1.3e-07   9.1e-05   19.7   0.0   391   451   240   300   236   326 0.80 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 3859at5820           -            494   2.4e-14   51.3   0.4   4   4       1.7   1.2e+03   -3.7   0.2   430   477   499   554   487   556 0.60 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 3859at5820           -            494   1.2e-13   49.0   0.1   1   3   1.8e-16   1.2e-13   49.0   0.1   339   443  1433  1531  1428  1537 0.87 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 3859at5820           -            494   1.2e-13   49.0   0.1   2   3      0.21   1.4e+02   -0.7   0.1   392   434  1632  1676  1627  1684 0.74 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 3859at5820           -            494   1.2e-13   49.0   0.1   3   3       1.3   8.7e+02   -3.3   0.3   312   335  2247  2271  2237  2289 0.64 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
