#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087895.1-p1      -            665 4067at5820           -            547         0 1138.6  49.4   1   2  1.7e-187  4.6e-185  614.3  35.5     1   301     1   305     1   315 0.97 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 4067at5820           -            547         0 1138.6  49.4   2   2  4.9e-162  1.3e-159  530.3   6.5   291   542   315   567   308   571 0.99 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4067at5820           -            547   3.7e-31  106.3   2.8   1   2   6.3e-15   1.7e-12   44.7   0.1   320   510   511   689   509   717 0.75 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4067at5820           -            547   3.7e-31  106.3   2.8   2   2     8e-20   2.1e-17   60.9   0.3   295   513   805  1013   800  1026 0.76 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4067at5820           -            547   3.3e-20   70.2   0.0   1   2   3.3e-11   8.6e-09   32.5   0.0   321   450   243   371   241   448 0.80 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4067at5820           -            547   3.3e-20   70.2   0.0   2   2   6.5e-12   1.7e-09   34.8   0.0   295   509   489   695   464   709 0.73 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4067at5820           -            547   2.8e-15   53.9   9.9   1   3    0.0015      0.39    7.2   0.0   320   338   384   402   355   407 0.79 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4067at5820           -            547   2.8e-15   53.9   9.9   2   3    0.0033      0.87    6.1   1.6   375   442   496   558   478   632 0.73 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4067at5820           -            547   2.8e-15   53.9   9.9   3   3   9.3e-15   2.4e-12   44.2   0.6   308   444   801   935   749   971 0.74 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 4067at5820           -            547   1.5e-14   51.5   0.8   1   2       1.2   3.3e+02   -2.4   1.2    62   115    42    91    29   117 0.62 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 4067at5820           -            547   1.5e-14   51.5   0.8   2   2   1.1e-16   2.8e-14   50.6   0.0   320   460   203   344   199   371 0.84 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
