#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114655.1-p1      -           1833 1620at5820           -           1443         0 1933.5  81.5   1   1         0         0 1932.5  81.5     1  1443     1  1833     1  1833 0.84 | transcript=PVX_114655.1 | gene=PVX_114655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:732215-738029(+) | protein_length=1833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089900.1-p1      -            218 1620at5820           -           1443     0.073    8.8  15.9   1   1   0.00013     0.082    8.6  15.9   608   733    63   185    24   206 0.64 | transcript=PVX_089900.1 | gene=PVX_089900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:924985-925641(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 1620at5820           -           1443      0.29    6.8  33.4   1   1   0.00066       0.4    6.3  33.4   670   832    65   254    35   367 0.47 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 1620at5820           -           1443      0.43    6.2  28.0   1   1    0.0009      0.56    5.8  28.0   650   800    70   237    37   245 0.48 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 1620at5820           -           1443      0.64    5.6  26.4   1   2    0.0002      0.12    8.0   0.1  1167  1299   153   278    88   292 0.58 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 1620at5820           -           1443      0.64    5.6  26.4   2   2      0.16        95   -1.6  23.0   681   737   507   562   454   583 0.31 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 1620at5820           -           1443      0.64    5.6   5.2   1   1    0.0015      0.91    5.1   5.2   706   784   490   588   452   596 0.52 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 1620at5820           -           1443       1.1    4.9  21.7   1   1    0.0026       1.6    4.3  21.7   701   824    34   157     4   187 0.52 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 1620at5820           -           1443       1.5    4.4  22.1   1   1    0.0036       2.2    3.9  22.1   680   792   249   379   227   420 0.41 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116604.1-p1      -           2951 1620at5820           -           1443       2.3    3.8  17.4   1   1    0.0072       4.4    2.8  17.4   679   883  1697  1907  1656  1942 0.59 | transcript=PVX_116604.1 | gene=PVX_116604 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1133589-1142444(-) | protein_length=2951 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1620at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1620at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1620at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:44 2026
# [ok]
