#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089625.1-p1      -            269 10779at5820          -            230  6.3e-140  463.0  34.8   1   2   6.2e-89   1.4e-86  288.5  25.8     1   148     9   159     9   172 0.96 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 10779at5820          -            230  6.3e-140  463.0  34.8   2   2   7.9e-56   1.7e-53  180.2   1.7   147   230   178   261   166   261 0.97 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10779at5820          -            230   1.9e-25   88.4  10.5   1   4   3.1e-09   6.8e-07   27.7   0.0   159   220    18    79    12    85 0.94 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10779at5820          -            230   1.9e-25   88.4  10.5   2   4   1.4e-06   0.00031   19.0   0.2   158   220   105   166    97   178 0.89 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10779at5820          -            230   1.9e-25   88.4  10.5   3   4     2e-08   4.4e-06   25.1   0.4   145   220   183   253   170   258 0.81 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 10779at5820          -            230   1.9e-25   88.4  10.5   4   4     4e-07   8.8e-05   20.8   0.2   148   218   438   509   421   516 0.76 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10779at5820          -            230   7.6e-13   47.2   6.2   1   3     0.024       5.2    5.2   0.1   160   219    89   148    46   158 0.86 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10779at5820          -            230   7.6e-13   47.2   6.2   2   3     1e-08   2.3e-06   26.0   0.5   144   220   169   246   155   254 0.85 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 10779at5820          -            230   7.6e-13   47.2   6.2   3   3     5e-06    0.0011   17.2   0.0   167   219   408   460   398   471 0.88 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 10779at5820          -            230   1.3e-12   46.4   0.1   1   3     0.001      0.23    9.7   0.1   165   220    96   151     8   159 0.92 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 10779at5820          -            230   1.3e-12   46.4   0.1   2   3   1.3e-05     0.003   15.8   0.0   161   220   191   250   178   256 0.90 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
