#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088235.1-p1      -           1696 533at5820            -           1409         0 2920.9  29.7   1   3         0         0 1794.5  17.3     1   874     1   985     1   994 0.95 | transcript=PVX_088235.1 | gene=PVX_088235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr01:521978-527387(+) | protein_length=1696 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088235.1-p1      -           1696 533at5820            -           1409         0 2920.9  29.7   2   3   2.4e-18   6.6e-15   52.0   0.1   883   922  1124  1163  1110  1168 0.92 | transcript=PVX_088235.1 | gene=PVX_088235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr01:521978-527387(+) | protein_length=1696 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088235.1-p1      -           1696 533at5820            -           1409         0 2920.9  29.7   3   3         0         0 1073.9   0.9   933  1409  1220  1696  1185  1696 0.98 | transcript=PVX_088235.1 | gene=PVX_088235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr01:521978-527387(+) | protein_length=1696 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   1   6    0.0009       2.5    3.7   0.7    29   116    19   110     7   131 0.78 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   2   6   3.9e-09   1.1e-05   21.5   3.5   147   296   175   326   159   367 0.81 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   3   6   6.4e-06     0.018   10.8   0.6   495   638   579   739   550   798 0.69 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   4   6    0.0071        20    0.7   0.1   787   857  1002  1072   980  1086 0.67 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   5   6   3.2e-06    0.0089   11.8   0.0  1085  1158  1493  1571  1481  1580 0.86 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117685.1-p1      -           1903 533at5820            -           1409   7.5e-38  128.0  28.9   6   6   5.6e-31   1.6e-27   93.8   0.5  1165  1368  1651  1863  1634  1896 0.88 | transcript=PVX_117685.1 | gene=PVX_117685 | organism=Plasmodium_vivax_Sal-1 | gene_product=ferlin, putative | transcript_product=ferlin, putative | location=Pv_Sal1_chr12:2069466-2075177(+) | protein_length=1903 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/533at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/533at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/533at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:16 2026
# [ok]
