#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084975.1-p1      -            769 4413at5820           -            552  2.8e-277  919.1  46.6   1   4   5.9e-65   4.6e-62  208.7  13.7     2   147     9   171     5   198 0.87 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 4413at5820           -            552  2.8e-277  919.1  46.6   2   4   3.1e-92   2.4e-89  298.8   9.9   144   302   269   430   258   434 0.95 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 4413at5820           -            552  2.8e-277  919.1  46.6   3   4  6.9e-123  5.4e-120  399.9   3.6   303   526   470   714   462   718 0.92 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 4413at5820           -            552  2.8e-277  919.1  46.6   4   4   6.6e-09   5.2e-06   23.7   0.1   527   552   741   766   733   766 0.94 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 4413at5820           -            552     4e-24   83.5  18.9   1   3      0.35   2.8e+02   -1.8   1.5   137   171    29    63     4    85 0.65 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 4413at5820           -            552     4e-24   83.5  18.9   2   3   4.7e-12   3.7e-09   34.1   3.7   138   290   128   295   108   311 0.67 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085330.1-p1      -            518 4413at5820           -            552     4e-24   83.5  18.9   3   3   5.8e-20   4.6e-17   60.2   0.6   359   519   319   475   297   480 0.86 | transcript=PVX_085330.1 | gene=PVX_085330 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr13:1111301-1112857(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 4413at5820           -            552   5.8e-09   33.4   0.7   1   1   1.5e-11   1.2e-08   32.4   0.7   321   419   495   588   354   605 0.79 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079810.1-p1      -            533 4413at5820           -            552   7.8e-09   33.0   1.5   1   3         7   5.5e+03   -6.3   3.3    70    79    33    42     8    79 0.48 | transcript=PVX_079810.1 | gene=PVX_079810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:122630-124231(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079810.1-p1      -            533 4413at5820           -            552   7.8e-09   33.0   1.5   2   3   9.9e-12   7.8e-09   33.0   1.5   212   284   188   258   170   268 0.86 | transcript=PVX_079810.1 | gene=PVX_079810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:122630-124231(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079810.1-p1      -            533 4413at5820           -            552   7.8e-09   33.0   1.5   3   3      0.77   6.1e+02   -2.9   2.6   109   157   416   465   375   480 0.61 | transcript=PVX_079810.1 | gene=PVX_079810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:122630-124231(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080570.1-p1      -            288 4413at5820           -            552   1.4e-07   28.9   0.0   1   1   2.6e-10   2.1e-07   28.3   0.0   362   424    85   150    51   181 0.74 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4413at5820           -            552   9.8e-07   26.1   7.3   1   3   0.00057      0.45    7.4   0.0   362   422   309   375   299   389 0.75 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4413at5820           -            552   9.8e-07   26.1   7.3   2   3   2.9e-07   0.00023   18.2   0.4   340   396   563   619   549   634 0.82 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4413at5820           -            552   9.8e-07   26.1   7.3   3   3     0.019        15    2.3   0.9   212   270   665   720   646   786 0.82 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 4413at5820           -            552   0.00049   17.2   5.3   1   3   0.00048      0.38    7.6   0.3   216   264   105   153    95   178 0.82 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 4413at5820           -            552   0.00049   17.2   5.3   2   3     5e-05      0.04   10.9   0.1   355   380   196   221   164   281 0.85 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 4413at5820           -            552   0.00049   17.2   5.3   3   3      0.15   1.2e+02   -0.6   0.1   444   461   337   356   317   366 0.83 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4413at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:31 2026
# [ok]
