#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   1   6   2.1e-47   1.3e-44  150.8   0.3     1   107    32   141    32   145 0.95 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   2   6  1.2e-198  7.2e-196  651.7  11.9   101   427   231   558   221   568 0.98 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   3   6  3.6e-182  2.2e-179  597.1  13.9   429   766   595   940   582   943 0.96 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   4   6   2.5e-15   1.5e-12   44.6   0.1   757   814   966  1030   959  1047 0.78 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   5   6   1.4e-76   8.6e-74  247.4   2.1   819   966  1167  1319  1123  1322 0.95 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 1444at5820           -           1093         0 1884.6  58.1   6   6     2e-66   1.2e-63  213.8   0.2   962  1087  1352  1477  1347  1481 0.98 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 1444at5820           -           1093   7.5e-14   48.9   0.3   1   2   1.2e-09   7.1e-07   25.8   0.0   853   938   387   475   364   485 0.90 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 1444at5820           -           1093   7.5e-14   48.9   0.3   2   2     4e-08   2.5e-05   20.7   0.1   852   909   489   546   480   592 0.85 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 1444at5820           -           1093   8.1e-13   45.5   0.1   1   1   1.6e-15   9.6e-13   45.3   0.1   852   945    42   137    39   173 0.88 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 1444at5820           -           1093   6.2e-12   42.6   4.3   1   2    0.0011      0.68    6.0   0.0    84   134   335   387   320   397 0.71 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091400.1-p1      -            789 1444at5820           -           1093   6.2e-12   42.6   4.3   2   2   6.7e-13   4.1e-10   36.6   1.9   317   413   503   597   495   763 0.93 | transcript=PVX_091400.1 | gene=PVX_091400 | organism=Plasmodium_vivax_Sal-1 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=Pv_Sal1_chr09:487594-491105(+) | protein_length=789 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
