#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101010.1-p1      -            635 5333at5820           -            493  2.4e-270  895.5   6.6   1   3      0.29   5.3e+02   -2.7   0.0     1    29     1    35     1    47 0.64 | transcript=PVX_101010.1 | gene=PVX_101010 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr14:2578555-2580462(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101010.1-p1      -            635 5333at5820           -            493  2.4e-270  895.5   6.6   2   3   2.9e-81   5.3e-78  261.1   0.1    45   172   129   257   102   264 0.94 | transcript=PVX_101010.1 | gene=PVX_101010 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr14:2578555-2580462(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101010.1-p1      -            635 5333at5820           -            493  2.4e-270  895.5   6.6   3   3  3.8e-195  7.1e-192  636.7   1.6   179   493   303   635   291   635 0.98 | transcript=PVX_101010.1 | gene=PVX_101010 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr14:2578555-2580462(+) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000560.1-p1      -            724 5333at5820           -            493   2.8e-42  143.3  12.6   1   3   8.2e-13   1.5e-09   35.3   0.1    85   159   222   296   215   301 0.94 | transcript=PVX_000560.1 | gene=PVX_000560 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr03:469619-471793(+) | protein_length=724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000560.1-p1      -            724 5333at5820           -            493   2.8e-42  143.3  12.6   2   3   4.2e-10   7.7e-07   26.4   0.0   203   256   369   423   358   427 0.87 | transcript=PVX_000560.1 | gene=PVX_000560 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr03:469619-471793(+) | protein_length=724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000560.1-p1      -            724 5333at5820           -            493   2.8e-42  143.3  12.6   3   3   1.1e-25     2e-22   77.8   8.2   288   482   426   608   421   617 0.89 | transcript=PVX_000560.1 | gene=PVX_000560 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr03:469619-471793(+) | protein_length=724 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084830.1-p1      -            413 5333at5820           -            493     1e-06   26.0   0.4   1   3      0.22     4e+02   -2.3   0.2   405   432    40    66    23   142 0.57 | transcript=PVX_084830.1 | gene=PVX_084830 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr13:684135-685376(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084830.1-p1      -            413 5333at5820           -            493     1e-06   26.0   0.4   2   3      0.42   7.7e+02   -3.3   0.1    18    51   161   194   147   199 0.54 | transcript=PVX_084830.1 | gene=PVX_084830 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr13:684135-685376(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084830.1-p1      -            413 5333at5820           -            493     1e-06   26.0   0.4   3   3   5.7e-10     1e-06   26.0   0.4   357   483   266   398   246   407 0.73 | transcript=PVX_084830.1 | gene=PVX_084830 | organism=Plasmodium_vivax_Sal-1 | gene_product=queuine tRNA-ribosyltransferase, putative | transcript_product=queuine tRNA-ribosyltransferase, putative | location=Pv_Sal1_chr13:684135-685376(-) | protein_length=413 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5333at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5333at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5333at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:14 2026
# [ok]
