#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   1   6   5.2e-09   1.3e-06   26.1   0.2     3    40     6    46     1    63 0.77 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   2   6   0.00048      0.12    9.8   0.0    46   107    88   155    85   156 0.71 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   3   6    0.0013      0.32    8.4   3.4    49    83   138   172   130   181 0.85 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   4   6   1.5e-39   3.7e-37  126.7  19.0    64   180   212   328   186   336 0.84 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   5   6   4.6e-99   1.2e-96  322.5   5.2   166   330   338   508   332   517 0.95 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 7466at5820           -            378  1.3e-169  562.6  56.2   6   6   6.5e-30   1.6e-27   94.9   1.3   329   378   534   583   528   583 0.97 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   1   6   5.8e-09   1.5e-06   26.0   0.2     3    40     6    46     1    63 0.77 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   2   6   0.00053      0.13    9.7   0.0    46   107    88   155    85   156 0.71 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   3   6    0.0016      0.39    8.1   3.6    48    83   137   172   129   181 0.85 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   4   6   1.7e-39   4.3e-37  126.5  19.0    64   180   212   328   186   336 0.84 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   5   6   5.4e-99   1.3e-96  322.3   5.2   166   330   338   508   332   517 0.95 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 7466at5820           -            378  2.7e-169  561.6  56.3   6   6   7.2e-30   1.8e-27   94.8   1.3   329   378   534   583   528   583 0.97 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 7466at5820           -            378  5.9e-125  415.7  13.6   1   2  9.5e-100   2.4e-97  324.8   5.1   165   330    20   191    10   200 0.95 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 7466at5820           -            378  5.9e-125  415.7  13.6   2   2   2.8e-30   6.9e-28   96.2   1.3   328   378   216   266   211   266 0.97 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 7466at5820           -            378   1.2e-64  217.2  21.7   1   1     2e-65   5.1e-63  211.8  19.4    80   376   162   490   138   492 0.83 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 7466at5820           -            378   8.5e-62  207.8  19.8   1   1   1.9e-63   4.8e-61  205.3  19.8    76   374   152   482   121   486 0.82 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091405.1-p1      -            484 7466at5820           -            378   3.9e-61  205.6  22.0   1   1   7.9e-63     2e-60  203.3  22.0    83   362   158   468   133   482 0.85 | transcript=PVX_091405.1 | gene=PVX_091405 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:492204-493658(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_239290-t26_1-p1  -            285 7466at5820           -            378   4.5e-32  110.0  28.6   1   4   1.9e-09   4.8e-07   27.6   0.2     3    40     6    46     1    63 0.76 | transcript=PVX_239290-t26_1 | gene=PVX_239290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001713:43-897(+) | protein_length=285 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_239290-t26_1-p1  -            285 7466at5820           -            378   4.5e-32  110.0  28.6   2   4   0.00016      0.04   11.4   0.0    46   107    88   155    85   156 0.71 | transcript=PVX_239290-t26_1 | gene=PVX_239290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001713:43-897(+) | protein_length=285 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_239290-t26_1-p1  -            285 7466at5820           -            378   4.5e-32  110.0  28.6   3   4   0.00054      0.13    9.7   3.5    48    83   137   172   129   180 0.85 | transcript=PVX_239290-t26_1 | gene=PVX_239290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001713:43-897(+) | protein_length=285 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_239290-t26_1-p1  -            285 7466at5820           -            378   4.5e-32  110.0  28.6   4   4   6.4e-24   1.6e-21   75.2  13.3    64   138   212   285   184   285 0.80 | transcript=PVX_239290-t26_1 | gene=PVX_239290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001713:43-897(+) | protein_length=285 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 7466at5820           -            378   4.5e-16   57.3   9.0   1   1   4.5e-16   1.1e-13   49.4   9.0   181   359   312   543   302   552 0.68 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 7466at5820           -            378   4.4e-13   47.4   9.6   1   3       3.7   9.3e+02   -3.0   0.0   294   324    88   118    72   124 0.74 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 7466at5820           -            378   4.4e-13   47.4   9.6   2   3   8.2e-05     0.021   12.3   0.2   180   254   381   469   342   474 0.67 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
