#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086130.1-p1      -            119 14381at5820          -             87   3.8e-56  186.0   1.0   1   1   3.2e-58   4.6e-56  185.7   1.0     1    87    25   114    25   114 0.98 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14381at5820          -             87   4.3e-17   60.8   0.0   1   3   4.3e-05    0.0062   15.5   0.0    22    77    99   154    86   163 0.88 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14381at5820          -             87   4.3e-17   60.8   0.0   2   3   3.4e-06   0.00049   19.0   0.0    22    79   198   255   183   261 0.90 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14381at5820          -             87   4.3e-17   60.8   0.0   3   3   3.7e-07   5.2e-05   22.1   0.0    26    80   387   441   371   447 0.87 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14381at5820          -             87   4.4e-17   60.8   3.1   1   4     8e-07   0.00011   21.0   0.0    20    77    25    82    13    89 0.88 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14381at5820          -             87   4.4e-17   60.8   3.1   2   4   0.00031     0.045   12.7   0.1    13    77   106   169    99   177 0.86 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14381at5820          -             87   4.4e-17   60.8   3.1   3   4    0.0051      0.73    8.8   0.0    19    79   201   258   193   266 0.85 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 14381at5820          -             87   4.4e-17   60.8   3.1   4   4   5.5e-05    0.0078   15.2   0.0    10    75   448   512   441   518 0.87 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14381at5820          -             87   4.5e-16   57.6   2.0   1   4   8.9e-07   0.00013   20.9   0.0    16    78    91   153    80   158 0.88 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14381at5820          -             87   4.5e-16   57.6   2.0   2   4   0.00041     0.058   12.4   0.1    20    80   193   252   183   257 0.87 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14381at5820          -             87   4.5e-16   57.6   2.0   3   4       7.6   1.1e+03   -1.3   0.1    29    47   305   323   296   334 0.77 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
