#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002755.1-p1      -           1339 913at5820            -           1148         0 2638.5  12.3   1   2         0         0 1966.1   4.0     4   850    30   905    28   914 0.98 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 913at5820            -           1148         0 2638.5  12.3   2   2  4.3e-207    8e-204  677.5   1.2   852  1148  1034  1339  1021  1339 0.97 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 913at5820            -           1148  1.5e-207  689.8  19.0   1   2  2.8e-126  5.2e-123  409.8  12.9     9   786   218  1003   212  1015 0.85 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 913at5820            -           1148  1.5e-207  689.8  19.0   2   2   3.3e-88     6e-85  283.8   0.4   804  1146  1097  1425  1070  1427 0.90 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 913at5820            -           1148  6.2e-100  333.4  14.6   1   5   1.1e-08     2e-05   20.4   0.5    22   173    96   249    84   267 0.86 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 913at5820            -           1148  6.2e-100  333.4  14.6   2   5   1.3e-07   0.00025   16.8   0.0   440   508   610   676   540   713 0.69 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 913at5820            -           1148  6.2e-100  333.4  14.6   3   5   4.7e-32   8.6e-29   97.8   0.2   659   783   981  1106   972  1116 0.90 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 913at5820            -           1148  6.2e-100  333.4  14.6   4   5   5.4e-31     1e-27   94.3   0.0   886   982  1204  1303  1185  1323 0.92 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 913at5820            -           1148  6.2e-100  333.4  14.6   5   5   2.4e-35   4.5e-32  108.7   1.9   983  1144  1376  1551  1356  1555 0.84 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:58 2026
# [ok]
