#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   1  11   5.5e-24   1.5e-20   70.3   1.6     1    89     1   102     1   117 0.84 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   2  11   1.7e-06    0.0048   12.3   0.1    94   121   302   329   256   346 0.89 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   3  11  6.1e-275  1.7e-271  902.5   3.1   115   516   407   808   403   811 0.99 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   4  11  8.6e-218  2.4e-214  713.0  12.8   514   871   861  1238   857  1250 0.95 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   5  11   2.2e-17   6.2e-14   48.4   0.4   867   935  1325  1402  1310  1414 0.76 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   6  11     0.032        90   -1.9   0.2   917   941  1472  1496  1461  1501 0.83 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   7  11   1.1e-59   2.9e-56  188.8   9.0   939  1094  1575  1752  1567  1767 0.84 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   8  11   3.4e-39   9.4e-36  120.7   6.7  1082  1243  1785  2019  1780  2022 0.78 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2   9  11   1.1e-56   2.9e-53  178.8   0.1  1236  1379  2037  2210  2026  2220 0.87 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2  10  11  8.9e-186  2.5e-182  606.9  12.8  1378  1665  2347  2634  2343  2651 0.98 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116985.1-p1      -           3061 165at5820            -           2038         0 3553.7 108.2  11  11  9.3e-230  2.6e-226  752.7   0.0  1662  2037  2677  3061  2670  3061 0.97 | transcript=PVX_116985.1 | gene=PVX_116985 | organism=Plasmodium_vivax_Sal-1 | gene_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | transcript_product=biotin carboxylase subunit of acetyl CoA carboxylase, putative | location=Pv_Sal1_chr12:1437325-1446862(-) | protein_length=3061 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001900.1-p1      -            630 165at5820            -           2038   1.6e-05   20.5   0.3   1   3   5.8e-09   1.6e-05   20.5   0.3   778   851    58   132    35   139 0.84 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001900.1-p1      -            630 165at5820            -           2038   1.6e-05   20.5   0.3   2   3     0.089   2.5e+02   -3.3   0.0   778   830   191   243   187   259 0.81 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001900.1-p1      -            630 165at5820            -           2038   1.6e-05   20.5   0.3   3   3     0.032        90   -1.9   0.3  1256  1332   379   458   365   482 0.66 | transcript=PVX_001900.1 | gene=PVX_001900 | organism=Plasmodium_vivax_Sal-1 | gene_product=dihydrolipoamide acetyltransferase, putative | transcript_product=dihydrolipoamide acetyltransferase, putative | location=Pv_Sal1_chr06:236016-239462(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/165at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/165at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:56 2026
# [ok]
