#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   1  15   4.1e-91   4.5e-88  294.6  12.1     1   213    44   289    44   293 0.87 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   2  15   1.6e-46   1.7e-43  146.7   9.5   211   289   359   437   347   442 0.95 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   3  15  1.1e-132  1.2e-129  432.4  56.7   289   522   465   698   462   707 0.98 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   4  15   2.5e-35   2.8e-32  109.6   0.0   530   596   805   871   796   883 0.93 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   5  15  7.2e-104  7.9e-101  336.9  22.1   594   761   918  1085   915  1091 0.98 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   6  15   2.3e-63   2.5e-60  202.6  11.1   768   888  1132  1252  1116  1254 0.96 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   7  15   2.6e-45   2.9e-42  142.7   2.3   898   984  1310  1396  1305  1398 0.97 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   8  15   1.2e-45   1.3e-42  143.8   6.8   984  1087  1454  1569  1450  1571 0.89 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4   9  15    5e-115  5.5e-112  373.8  48.0  1085  1294  1627  1839  1624  1846 0.97 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  10  15   5.5e-14   6.1e-11   38.9   0.3  1284  1318  1876  1910  1868  1930 0.90 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095250.1-p1      -           2637 537at5820            -           1767         0 2784.6 297.4  11  15   0.00013      0.15    7.8   0.3  1317  1339  1962  1984  1959  1996 0.85 | transcript=PVX_095250.1 | gene=PVX_095250 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter I family member 1, putative | transcript_product=ABC transporter I family member 1, putative | location=Pv_Sal1_chr08:928573-936955(-) | protein_length=2637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
