#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083415.1-p1      -            585 8614at5820           -            406  4.6e-143  475.2   8.3   1   4   7.8e-88   1.4e-84  282.6   3.9     2   196     4   224     3   226 0.89 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 8614at5820           -            406  4.6e-143  475.2   8.3   2   4   2.2e-38   4.1e-35  119.7   0.0   197   322   257   420   252   426 0.83 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 8614at5820           -            406  4.6e-143  475.2   8.3   3   4   9.4e-06     0.017   12.3   0.0   320   354   448   486   443   489 0.81 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 8614at5820           -            406  4.6e-143  475.2   8.3   4   4   5.8e-20   1.1e-16   59.1   0.0   349   406   510   576   501   576 0.86 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 8614at5820           -            406   4.1e-17   60.5   6.3   1   2   2.2e-20   4.1e-17   60.5   6.3     3    93    11   105     8   164 0.89 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 8614at5820           -            406   4.1e-17   60.5   6.3   2   2      0.33   6.1e+02   -2.7   0.0   151   178   261   288   246   335 0.59 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8614at5820           -            406   3.7e-09   34.2  22.8   1   4   2.8e-11   5.2e-08   30.5   6.9     2   127   194   322   193   327 0.80 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8614at5820           -            406   3.7e-09   34.2  22.8   2   4     0.047        87    0.1   0.2   374   405   603   634   548   635 0.69 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8614at5820           -            406   3.7e-09   34.2  22.8   3   4   1.4e-05     0.026   11.7   0.0     6    89   654   751   650   760 0.81 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 8614at5820           -            406   3.7e-09   34.2  22.8   4   4       0.1   1.9e+02   -1.0   2.1   174   254   941  1024   917  1028 0.73 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
