#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094660.1-p1      -            242 11192at5820          -            221  4.4e-141  466.0   5.4   1   1  4.5e-144  4.9e-141  465.9   5.4     1   221     9   240     9   240 0.97 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089735.1-p1      -            231 11192at5820          -            221   2.9e-23   80.8   0.7   1   1   3.7e-26   4.1e-23   80.3   0.7    22   202     8   206     2   219 0.76 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11192at5820          -            221   6.3e-14   50.3   5.3   1   3   7.5e-10   8.3e-07   27.0   0.2    24    79   108   172    96   224 0.75 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11192at5820          -            221   6.3e-14   50.3   5.3   2   3   0.00046      0.51    8.1   0.1    59   109   231   281   198   315 0.62 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081230.1-p1      -            373 11192at5820          -            221   6.3e-14   50.3   5.3   3   3   8.6e-07   0.00095   17.0   0.1   168   210   315   357   299   366 0.84 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 11192at5820          -            221   2.4e-06   25.5   0.2   1   2   7.6e-07   0.00084   17.2   0.1    22   140     9   148     2   161 0.73 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 11192at5820          -            221   2.4e-06   25.5   0.2   2   2    0.0075       8.3    4.1   0.0   163   196   191   227   178   236 0.78 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11192at5820          -            221   0.00043   18.1   0.3   1   3      0.71   7.9e+02   -2.4   0.0    21    55   419   453   406   461 0.69 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11192at5820          -            221   0.00043   18.1   0.3   2   3   1.2e-05     0.013   13.2   0.0    75   108   513   547   494   552 0.89 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 11192at5820          -            221   0.00043   18.1   0.3   3   3     0.046        51    1.5   0.1   161   203   796   838   788   852 0.76 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11192at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11192at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11192at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:39 2026
# [ok]
