#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089930.1-p1      -            191 12242at5820          -            175  1.5e-115  381.6   3.3   1   1  1.7e-117  5.1e-115  379.9   3.3     1   175     1   191     1   191 0.98 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 12242at5820          -            175   6.8e-30  102.6   0.1   1   1   2.6e-32   7.6e-30  102.5   0.1    22   173    23   176     4   178 0.93 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 12242at5820          -            175   1.2e-23   82.3   0.0   1   1   5.3e-26   1.6e-23   81.9   0.0    22   171    23   174     4   177 0.92 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 12242at5820          -            175   4.1e-20   70.8   0.0   1   1   1.6e-22   4.6e-20   70.6   0.0    17   170    13   173     1   177 0.83 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101235.1-p1      -            261 12242at5820          -            175   2.2e-08   32.6   0.0   1   1   1.1e-10   3.3e-08   32.0   0.0    26   137    73   190    62   205 0.83 | transcript=PVX_101235.1 | gene=PVX_101235 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2738495-2739776(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114960.1-p1      -            203 12242at5820          -            175     6e-08   31.2   0.0   1   1   2.8e-10   8.3e-08   30.7   0.0    23   147    33   165    27   186 0.74 | transcript=PVX_114960.1 | gene=PVX_114960 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr11:460097-461140(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080550.1-p1      -            207 12242at5820          -            175   2.1e-07   29.4   0.0   1   1   1.1e-09   3.2e-07   28.8   0.0    27   132    23   132    16   154 0.74 | transcript=PVX_080550.1 | gene=PVX_080550 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=Pv_Sal1_chr10:758365-758988(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 12242at5820          -            175   2.6e-07   29.1   0.0   1   1   1.1e-09   3.3e-07   28.8   0.0    27   136    20   132    13   168 0.82 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080610.1-p1      -            200 12242at5820          -            175     4e-07   28.5   0.1   1   1   2.1e-09   6.1e-07   27.9   0.0    28   131    20   128    12   150 0.74 | transcript=PVX_080610.1 | gene=PVX_080610 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=Pv_Sal1_chr10:796420-798044(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099440.1-p1      -            191 12242at5820          -            175   1.3e-06   26.8   0.1   1   1   5.7e-09   1.7e-06   26.5   0.1    22   171    28   176     5   180 0.83 | transcript=PVX_099440.1 | gene=PVX_099440 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr07:777038-778403(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122635.1-p1      -            207 12242at5820          -            175   1.1e-05   23.8   0.0   1   1   7.6e-08   2.2e-05   22.8   0.0    23   170    22   183    14   188 0.73 | transcript=PVX_122635.1 | gene=PVX_122635 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr14:738258-739404(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
