#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113555.1-p1      -            593 6270at5820           -            386  2.2e-160  532.1  32.8   1   5   0.00015       0.2    8.9   0.4     1    20    14    33    14    45 0.89 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6270at5820           -            386  2.2e-160  532.1  32.8   2   5   6.3e-59   8.8e-56  187.8   4.4    30   138    86   211    67   215 0.87 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6270at5820           -            386  2.2e-160  532.1  32.8   3   5   9.4e-16   1.3e-12   45.7   2.6   135   172   286   323   280   327 0.94 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6270at5820           -            386  2.2e-160  532.1  32.8   4   5   7.3e-47     1e-43  148.1   0.7   199   281   328   410   323   414 0.97 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6270at5820           -            386  2.2e-160  532.1  32.8   5   5   1.3e-49   1.8e-46  157.2   0.1   281   386   478   589   472   589 0.94 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 6270at5820           -            386   4.7e-14   50.4  10.7   1   3   0.00028      0.39    7.9   4.9    45   150   258   354   242   357 0.68 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 6270at5820           -            386   4.7e-14   50.4  10.7   2   3   1.8e-09   2.5e-06   25.0   0.2   167   251   342   426   330   441 0.89 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089145.1-p1      -            747 6270at5820           -            386   4.7e-14   50.4  10.7   3   3   1.2e-08   1.6e-05   22.3   0.1   300   381   573   655   571   658 0.92 | transcript=PVX_089145.1 | gene=PVX_089145 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:342540-344783(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 6270at5820           -            386     2e-05   22.0   0.6   1   2    0.0038       5.2    4.2   0.0   233   276   107   156   104   165 0.68 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 6270at5820           -            386     2e-05   22.0   0.6   2   2   1.5e-06     0.002   15.4   0.1   326   379   331   383   322   389 0.77 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089930.1-p1      -            191 6270at5820           -            386     0.016   12.5   0.0   1   1   1.5e-05      0.02   12.2   0.0   232   336    22   132    16   172 0.76 | transcript=PVX_089930.1 | gene=PVX_089930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=Pv_Sal1_chr05:946227-947218(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
