#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117320.1-p1      -            742 5136at5820           -            488  1.2e-219  728.4  66.0   1   4   5.8e-51   2.7e-48  163.2   1.1     1   102    17   118    17   123 0.97 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 5136at5820           -            488  1.2e-219  728.4  66.0   2   4   3.4e-66   1.6e-63  213.4  33.5    98   292   163   401   157   403 0.82 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 5136at5820           -            488  1.2e-219  728.4  66.0   3   4   8.7e-35     4e-32  109.9   0.0   280   363   475   559   430   564 0.83 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 5136at5820           -            488  1.2e-219  728.4  66.0   4   4   3.3e-76   1.5e-73  246.5  13.6   354   488   601   742   599   742 0.92 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 5136at5820           -            488   4.8e-07   27.2   2.7   1   3      0.29   1.3e+02   -0.7   0.7    82   133    18    70     5    78 0.77 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 5136at5820           -            488   4.8e-07   27.2   2.7   2   3   0.00099      0.46    7.4   0.0   322   360   166   204   152   207 0.85 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 5136at5820           -            488   4.8e-07   27.2   2.7   3   3   4.2e-07   0.00019   18.6   0.0   387   421   207   241   202   267 0.93 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5136at5820           -            488   2.3e-06   24.9   4.5   1   3   2.1e-05    0.0097   13.0   0.2   387   428   546   587   521   605 0.87 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5136at5820           -            488   2.3e-06   24.9   4.5   2   3       0.1        48    0.8   0.0   325   354   828   857   816   862 0.73 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5136at5820           -            488   2.3e-06   24.9   4.5   3   3   0.00011      0.05   10.6   0.2   388   442   867   921   854   946 0.79 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 5136at5820           -            488   3.4e-06   24.4   0.0   1   2      0.04        18    2.2   0.0   324   349   199   224   189   234 0.85 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
