#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101150.1-p1      -           1103 2216at5820           -            639         0 1235.7  55.1   1   4  6.1e-253  3.4e-250  830.2  13.5     1   380     6   394     6   405 0.98 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2216at5820           -            639         0 1235.7  55.1   2   4   5.2e-25   2.9e-22   77.2   5.9   362   453   476   583   454   587 0.78 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2216at5820           -            639         0 1235.7  55.1   3   4    0.0007      0.39    7.4   0.2   439   466   633   660   621   676 0.72 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 2216at5820           -            639         0 1235.7  55.1   4   4  2.1e-103  1.1e-100  336.2  14.7   463   638   898  1073   876  1074 0.96 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 2216at5820           -            639   9.3e-52  174.6  10.1   1   1   3.8e-54   2.1e-51  173.5  10.1    32   365   797  1138   782  1155 0.86 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 2216at5820           -            639   4.9e-48  162.3  13.6   1   2   8.8e-51   4.9e-48  162.3  13.6    19   384   495   861   487   922 0.83 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 2216at5820           -            639   4.9e-48  162.3  13.6   2   2      0.82   4.6e+02   -2.7   0.0   421   476  1053  1111  1047  1128 0.69 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2216at5820           -            639   1.4e-37  127.8  34.8   1   3     2e-15   1.1e-12   45.5   4.2    31   190    23   175     8   196 0.76 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2216at5820           -            639   1.4e-37  127.8  34.8   2   3   2.6e-30   1.5e-27   94.7  14.2   169   389   235   469   228   558 0.81 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 2216at5820           -            639   1.4e-37  127.8  34.8   3   3      0.66   3.6e+02   -2.4   0.0   430   486  1004  1061   967  1065 0.66 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 2216at5820           -            639   2.2e-30  104.0   8.1   1   2   9.4e-10   5.2e-07   26.8   0.3     5   136   234   356   230   360 0.83 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 2216at5820           -            639   2.2e-30  104.0   8.1   2   2   8.5e-26   4.7e-23   79.8   2.6   170   365   652   855   642   874 0.85 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2216at5820           -            639   3.8e-27   93.3  30.5   1   4     5e-12   2.8e-09   34.3   5.4    28   139   107   218    82   222 0.77 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2216at5820           -            639   3.8e-27   93.3  30.5   2   4   2.6e-16   1.4e-13   48.5   2.3   145   305   260   431   242   440 0.80 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2216at5820           -            639   3.8e-27   93.3  30.5   3   4   6.2e-10   3.4e-07   27.4   0.9   311   373   516   581   513   625 0.74 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
