#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   1   9   3.4e-38   1.9e-34  117.4   4.9     1    83     1   101     1   105 0.93 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   2   9  8.6e-132  4.7e-128  427.3  22.2    83   285   145   347   137   350 0.98 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   3   9   4.9e-74   2.7e-70  236.1  17.5   285   444   414   576   412   591 0.96 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   4   9   4.3e-46   2.4e-42  143.6   0.0   438   576   598   758   580   766 0.86 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   5   9     1e-12   5.7e-09   33.0   0.0   564   620   793   856   778   868 0.82 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   6   9   5.6e-47   3.1e-43  146.5   0.9   626   746   905  1034   899  1041 0.91 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   7   9   5.1e-29   2.8e-25   87.1   0.1   760   853  1125  1251  1093  1252 0.79 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   8   9     5e-59   2.8e-55  186.4   0.4   852   985  1332  1480  1329  1489 0.92 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088905.1-p1      -           1637 1196at5820           -           1074         0 1496.4  79.1   9   9   6.9e-43   3.8e-39  133.0   0.7   983  1074  1536  1637  1531  1637 0.87 | transcript=PVX_088905.1 | gene=PVX_088905 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:141333-146405(-) | protein_length=1637 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1196at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:16 2026
# [ok]
