#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092920.1-p1      -            340 10835at5820          -            259  9.5e-133  439.7  36.5   1   1  2.1e-135  1.2e-132  439.4  36.5     4   259    73   328    70   328 0.98 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 10835at5820          -            259   1.1e-24   85.6  73.3   1   5     2e-10   1.1e-07   29.9  15.4    40   199    34   195    19   226 0.82 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 10835at5820          -            259   1.1e-24   85.6  73.3   2   5   1.3e-06   0.00069   17.4   1.1    55   123   808   880   794   898 0.83 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 10835at5820          -            259   1.1e-24   85.6  73.3   3   5   9.1e-05     0.051   11.3   6.2   123   209   985  1075   980  1079 0.83 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 10835at5820          -            259   1.1e-24   85.6  73.3   4   5   9.7e-06    0.0053   14.5  17.6    39   222  1058  1251  1051  1258 0.75 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 10835at5820          -            259   1.1e-24   85.6  73.3   5   5   4.6e-13   2.5e-10   38.5   6.2    83   202  1247  1372  1237  1376 0.84 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 10835at5820          -            259   3.7e-16   57.6  48.7   1   3   8.5e-10   4.7e-07   27.8  21.4   108   216    20   130     2   132 0.82 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 10835at5820          -            259   3.7e-16   57.6  48.7   2   3   2.3e-08   1.3e-05   23.1   9.4    70   163    97   186    96   202 0.53 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 10835at5820          -            259   3.7e-16   57.6  48.7   3   3   4.9e-08   2.7e-05   22.1  12.5   108   181   197   276   191   297 0.81 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 10835at5820          -            259   2.8e-13   48.2  30.8   1   2   5.1e-16   2.8e-13   48.2  30.8    30   203    31   204     4   216 0.88 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 10835at5820          -            259   2.8e-13   48.2  30.8   2   2      0.25   1.4e+02    0.0   5.8   143   203   211   266   204   294 0.54 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
