#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088960.1-p1      -            482 5565at5820           -            428  1.3e-263  872.4   7.6   1   1  2.1e-266  1.4e-263  872.2   7.6     1   428    24   482    24   482 0.96 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 5565at5820           -            428     3e-29  100.2   8.0   1   2   6.5e-09   4.5e-06   23.8   0.8     8   138    28   175    24   187 0.74 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 5565at5820           -            428     3e-29  100.2   8.0   2   2   5.5e-26   3.8e-23   80.1   1.3   279   419   377   524   289   532 0.85 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 5565at5820           -            428   2.7e-17   60.8   6.0   1   3     2e-07   0.00014   18.9   0.7   318   408    44   132    28   154 0.69 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 5565at5820           -            428   2.7e-17   60.8   6.0   2   3   1.1e-14   7.8e-12   42.8   0.2   291   414   152   280   136   291 0.81 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 5565at5820           -            428   2.7e-17   60.8   6.0   3   3     0.076        52    0.5   0.0    75   111   357   398   346   412 0.73 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 5565at5820           -            428   4.9e-13   46.8   0.1   1   1   9.4e-16   6.5e-13   46.4   0.1   326   409    49   130    37   141 0.86 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 5565at5820           -            428   8.4e-11   39.4   0.2   1   1   1.2e-13   8.6e-11   39.4   0.2    15   389     9    83     1   102 0.49 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091990.1-p1      -            424 5565at5820           -            428   5.7e-06   23.5   3.1   1   1   1.3e-08   8.9e-06   22.8   3.1    13   206    34   258    27   298 0.71 | transcript=PVX_091990.1 | gene=PVX_091990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1002227-1005747(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 5565at5820           -            428   2.7e-05   21.2   0.0   1   1   4.5e-08   3.1e-05   21.1   0.0   319   388    38   105    28   123 0.85 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 5565at5820           -            428   0.00011   19.3   0.1   1   1   1.9e-07   0.00013   19.0   0.1    18    87    64   135    48   151 0.84 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
