#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   1   6   1.3e-18   4.4e-16   57.0   0.3     2    67     7    80     6    93 0.79 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   2   6     0.002      0.66    6.8   0.2    58    87   110   143   106   147 0.84 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   3   6   6.4e-85   2.1e-82  276.2   0.0    87   289   178   400   148   406 0.88 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   4   6   1.7e-30   5.5e-28   96.3   0.0   273   350   412   490   409   493 0.91 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   5   6   4.2e-28   1.4e-25   88.4   0.0   347   423   520   596   516   608 0.95 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 2942at5820           -            685  1.2e-275  914.8  10.4   6   6  2.1e-118  6.7e-116  386.9   1.1   425   684   654   963   651   964 0.86 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2942at5820           -            685   3.5e-38  130.0   0.9   1   3   3.6e-20   1.2e-17   62.2   0.0   481   602   508   629   504   638 0.90 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2942at5820           -            685   3.5e-38  130.0   0.9   2   3         1   3.3e+02   -2.1   0.0   366   411   646   690   641   708 0.79 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2942at5820           -            685   3.5e-38  130.0   0.9   3   3   3.6e-20   1.2e-17   62.1   0.1   483   684   830  1020   761  1021 0.78 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 2942at5820           -            685   1.8e-26   91.3  13.4   1   3      0.96   3.1e+02   -2.0   2.8    44    95   180   231   157   245 0.77 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 2942at5820           -            685   1.8e-26   91.3  13.4   2   3     9e-06    0.0029   14.6   1.3   487   558   246   318   234   335 0.89 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
