#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114890.1-p1      -            335 10505at5820          -            263  2.8e-131  434.9  50.3   1   1  1.1e-133  9.7e-131  433.1  50.3     1   263    51   334    51   334 0.93 | transcript=PVX_114890.1 | gene=PVX_114890 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM7, putative | transcript_product=rhomboid protease ROM7, putative | location=Pv_Sal1_chr11:544686-545693(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088955.1-p1      -            268 10505at5820          -            263   4.6e-05   21.2   1.6   1   3      0.19   1.7e+02   -0.4   0.2   126   153    39    64    31    75 0.70 | transcript=PVX_088955.1 | gene=PVX_088955 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=Pv_Sal1_chr05:181839-183064(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088955.1-p1      -            268 10505at5820          -            263   4.6e-05   21.2   1.6   2   3   4.9e-08   4.6e-05   21.2   1.6   104   159    92   147    78   151 0.90 | transcript=PVX_088955.1 | gene=PVX_088955 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=Pv_Sal1_chr05:181839-183064(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088955.1-p1      -            268 10505at5820          -            263   4.6e-05   21.2   1.6   3   3   0.00018      0.17    9.5   6.1   187   254   152   222   147   226 0.74 | transcript=PVX_088955.1 | gene=PVX_088955 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM3, putative | transcript_product=rhomboid protease ROM3, putative | location=Pv_Sal1_chr05:181839-183064(-) | protein_length=268 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080250.1-p1      -            491 10505at5820          -            263   0.00029   18.6   6.2   1   1     5e-07   0.00046   17.9   6.2    62   162   301   406   264   429 0.72 | transcript=PVX_080250.1 | gene=PVX_080250 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:505278-506753(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097905.1-p1      -            593 10505at5820          -            263    0.0024   15.6   0.3   1   3     0.085        78    0.8   0.2   185   226   169   208   142   214 0.74 | transcript=PVX_097905.1 | gene=PVX_097905 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=Pv_Sal1_chr10:1056452-1058233(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097905.1-p1      -            593 10505at5820          -            263    0.0024   15.6   0.3   2   3   2.6e-06    0.0024   15.6   0.3   103   159   294   350   281   353 0.88 | transcript=PVX_097905.1 | gene=PVX_097905 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=Pv_Sal1_chr10:1056452-1058233(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097905.1-p1      -            593 10505at5820          -            263    0.0024   15.6   0.3   3   3      0.12   1.1e+02    0.3   3.6   187   246   355   418   351   435 0.57 | transcript=PVX_097905.1 | gene=PVX_097905 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM4, putative | transcript_product=rhomboid protease ROM4, putative | location=Pv_Sal1_chr10:1056452-1058233(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091350.1-p1      -            276 10505at5820          -            263    0.0036   15.0   4.7   1   2   3.9e-06    0.0036   15.0   4.7   102   157   100   155    89   164 0.88 | transcript=PVX_091350.1 | gene=PVX_091350 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=Pv_Sal1_chr09:447407-448860(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091350.1-p1      -            276 10505at5820          -            263    0.0036   15.0   4.7   2   2     0.075        69    0.9   5.7   188   255   163   234   158   240 0.65 | transcript=PVX_091350.1 | gene=PVX_091350 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM1, putative | transcript_product=rhomboid protease ROM1, putative | location=Pv_Sal1_chr09:447407-448860(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080490.1-p1      -            416 10505at5820          -            263      0.75    7.4  11.1   1   1    0.0018       1.6    6.3  11.1    93   254   248   406   234   411 0.72 | transcript=PVX_080490.1 | gene=PVX_080490 | organism=Plasmodium_vivax_Sal-1 | gene_product=rhomboid protease ROM9, putative | transcript_product=rhomboid protease ROM9, putative | location=Pv_Sal1_chr10:717591-719195(+) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
