#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083300.1-p1      -            224 11318at5820          -            201  6.1e-114  377.0  13.2   1   1  1.4e-116  9.9e-114  376.3  13.2     1   201     1   223     1   223 0.93 | transcript=PVX_083300.1 | gene=PVX_083300 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr12:233641-235773(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081430.1-p1      -            214 11318at5820          -            201   4.2e-10   38.0   0.0   1   2      0.17   1.2e+02    0.6   0.0     6    33    30    57    26    64 0.88 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081430.1-p1      -            214 11318at5820          -            201   4.2e-10   38.0   0.0   2   2   4.6e-12   3.2e-09   35.1   0.0   100   180    99   185    77   199 0.84 | transcript=PVX_081430.1 | gene=PVX_081430 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5C, putative | transcript_product=ras-related protein Rab-5C, putative | location=Pv_Sal1_chr02:336091-338054(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124195.1-p1      -            213 11318at5820          -            201   3.3e-07   28.5   0.0   1   1     7e-10   4.8e-07   28.0   0.0   100   196    79   181    61   185 0.77 | transcript=PVX_124195.1 | gene=PVX_124195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-2, putative | transcript_product=ras-related protein Rab-2, putative | location=Pv_Sal1_chr14:2125168-2126631(+) | protein_length=213 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 11318at5820          -            201   7.8e-06   24.1   0.7   1   2      0.17   1.2e+02    0.6   0.0     6    26    14    34    11    44 0.82 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 11318at5820          -            201   7.8e-06   24.1   0.7   2   2   6.3e-08   4.3e-05   21.6   0.1   102   182    85   171    72   194 0.75 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082950.1-p1      -            229 11318at5820          -            201   0.00026   19.1   0.8   1   1   9.7e-07   0.00067   17.8   0.8    95   186    76   179    65   194 0.73 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119770.1-p1      -            766 11318at5820          -            201    0.0049   14.9   0.8   1   3     0.031        22    3.0   0.0     4    40    12    48     9   118 0.71 | transcript=PVX_119770.1 | gene=PVX_119770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1213207-1215507(-) | protein_length=766 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119770.1-p1      -            766 11318at5820          -            201    0.0049   14.9   0.8   2   3   0.00037      0.26    9.3   0.0     4    58   481   534   480   551 0.80 | transcript=PVX_119770.1 | gene=PVX_119770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1213207-1215507(-) | protein_length=766 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119770.1-p1      -            766 11318at5820          -            201    0.0049   14.9   0.8   3   3         1   7.3e+02   -2.0   0.1    29    56   584   611   554   627 0.69 | transcript=PVX_119770.1 | gene=PVX_119770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1213207-1215507(-) | protein_length=766 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 11318at5820          -            201    0.0062   14.6   1.1   1   2    0.0038       2.6    6.0   0.2     3    28     8    33     6    65 0.87 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098605.1-p1      -            206 11318at5820          -            201    0.0062   14.6   1.1   2   2    0.0014      0.94    7.5   0.0   102   149    82   132    66   175 0.65 | transcript=PVX_098605.1 | gene=PVX_098605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein RAB7, putative | transcript_product=ras-related protein RAB7, putative | location=Pv_Sal1_chr07:31786-34194(-) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 11318at5820          -            201    0.0074   14.3   5.2   1   3   0.00036      0.25    9.3   0.0     3    29   104   130   103   175 0.92 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 11318at5820          -            201    0.0074   14.3   5.2   2   3    0.0042       2.9    5.9   0.5   135   197   331   401   323   405 0.75 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 11318at5820          -            201    0.0074   14.3   5.2   3   3      0.49   3.4e+02   -0.9   0.2    16    78   405   466   400   478 0.68 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11318at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11318at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11318at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:02 2026
# [ok]
