#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   1   6  7.3e-161  1.4e-157  524.5  10.7     1   242     1   243     1   245 0.99 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   2   6   3.9e-70   7.2e-67  224.2   0.0   238   368   267   402   258   410 0.93 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   3   6   5.6e-98     1e-94  316.4   9.4   353   532   437   620   433   625 0.97 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   4   6    5e-130  9.3e-127  422.4   3.9   527   760   653   891   633   918 0.92 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   5   6  1.5e-125  2.7e-122  407.7   3.5   753   993   963  1231   956  1238 0.93 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091550.1-p1      -           1323 1582at5820           -           1005         0 1873.4  59.1   6   6     0.014        26    0.6   0.3   988  1005  1305  1322  1300  1322 0.87 | transcript=PVX_091550.1 | gene=PVX_091550 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:604073-608044(+) | protein_length=1323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115000.1-p1      -           1153 1582at5820           -           1005   4.9e-11   39.3  31.0   1   1   1.5e-13   2.8e-10   36.9  31.0    45   498   114   607    87   629 0.73 | transcript=PVX_115000.1 | gene=PVX_115000 | organism=Plasmodium_vivax_Sal-1 | gene_product=falcilysin, putative | transcript_product=falcilysin, putative | location=Pv_Sal1_chr11:411459-414920(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087035.1-p1      -            467 1582at5820           -           1005   2.1e-06   24.0   1.5   1   2   4.3e-09   7.9e-06   22.1   0.3    49   230    59   226    36   295 0.84 | transcript=PVX_087035.1 | gene=PVX_087035 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=Pv_Sal1_chr07:1288534-1289937(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087035.1-p1      -            467 1582at5820           -           1005   2.1e-06   24.0   1.5   2   2     0.011        20    0.9   0.0   878   943   369   437   344   449 0.83 | transcript=PVX_087035.1 | gene=PVX_087035 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial-processing peptidase subunit beta, putative | transcript_product=mitochondrial-processing peptidase subunit beta, putative | location=Pv_Sal1_chr07:1288534-1289937(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1582at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:36 2026
# [ok]
