#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089400.1-p1      -            914 3150at5820           -            646    5e-271  899.1  68.2   1   4   3.6e-87   6.7e-84  280.9  18.3     2   186    83   272    82   282 0.95 | transcript=PVX_089400.1 | gene=PVX_089400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:526587-529331(-) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089400.1-p1      -            914 3150at5820           -            646    5e-271  899.1  68.2   2   4  5.9e-101   1.1e-97  326.4  19.9   187   373   311   497   306   502 0.98 | transcript=PVX_089400.1 | gene=PVX_089400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:526587-529331(-) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089400.1-p1      -            914 3150at5820           -            646    5e-271  899.1  68.2   3   4   1.1e-24   2.1e-21   74.4   0.1   371   448   516   604   511   608 0.84 | transcript=PVX_089400.1 | gene=PVX_089400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:526587-529331(-) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089400.1-p1      -            914 3150at5820           -            646    5e-271  899.1  68.2   4   4   1.2e-71   2.1e-68  229.7  10.3   448   646   671   913   659   913 0.85 | transcript=PVX_089400.1 | gene=PVX_089400 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:526587-529331(-) | protein_length=914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3150at5820           -            646   3.2e-05   20.9  11.5   1   2   1.8e-08   3.2e-05   20.9  11.5   160   367   158   365   142   398 0.89 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3150at5820           -            646   3.2e-05   20.9  11.5   2   2      0.27   4.9e+02   -2.8  17.7    99   324   281   513   262   521 0.72 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3150at5820           -            646    0.0039   14.0  20.3   1   3   7.8e-05      0.14    8.9   0.8   195   260    62   131    47   143 0.81 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3150at5820           -            646    0.0039   14.0  20.3   2   3   7.4e-05      0.14    8.9   5.0   194   276   135   221   125   234 0.76 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111075.1-p1      -            512 3150at5820           -            646    0.0039   14.0  20.3   3   3    0.0013       2.4    4.8   3.4   387   503   240   356   223   366 0.92 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3150at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3150at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3150at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:55 2026
# [ok]
