#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   1  16      0.15   8.4e+02   -3.8   0.3     1    14     1    14     1    15 0.93 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   2  16   2.6e-28   1.4e-24   84.8   8.0     9   106    35   136    29   174 0.68 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   3  16      0.01        55    0.1   0.7    78   105   142   172   118   213 0.77 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   4  16   0.00077       4.3    3.8   3.9   100   132   299   333   285   358 0.73 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   5  16   2.8e-12   1.5e-08   31.7   5.8    88   185   345   452   332   463 0.75 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   6  16   6.6e-57   3.6e-53  179.4   8.9   186   291   606   711   600   716 0.96 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   7  16   5.2e-22   2.9e-18   63.9   0.0   281   337   723   779   717   811 0.88 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   8  16  5.8e-103   3.2e-99  331.9  29.3   348   573   917  1163   891  1166 0.91 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6   9  16   5.6e-12   3.1e-08   30.7   0.1   572   597  1224  1249  1222  1257 0.94 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  10  16   2.2e-13   1.2e-09   35.4   0.5   597   641  1286  1343  1282  1347 0.83 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091065.1-p1      -           2029 2702at5820           -            961         0 1122.7 174.6  11  16   6.5e-10   3.6e-06   23.9   7.8   644   705  1398  1453  1393  1483 0.61 | transcript=PVX_091065.1 | gene=PVX_091065 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:223664-229908(-) | protein_length=2029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
