#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118015.1-p1      -            816 9467at5820           -            281  1.5e-128  426.5  66.8   1   4     8e-46     4e-43  146.2   4.0     5    94    27   116    24   151 0.88 | transcript=PVX_118015.1 | gene=PVX_118015 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:2327219-2329857(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118015.1-p1      -            816 9467at5820           -            281  1.5e-128  426.5  66.8   2   4   0.00014     0.071   10.9   5.6    87   123   207   248   183   262 0.70 | transcript=PVX_118015.1 | gene=PVX_118015 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:2327219-2329857(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118015.1-p1      -            816 9467at5820           -            281  1.5e-128  426.5  66.8   3   4   1.1e-05    0.0054   14.6   3.2    92   140   392   440   343   444 0.78 | transcript=PVX_118015.1 | gene=PVX_118015 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:2327219-2329857(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118015.1-p1      -            816 9467at5820           -            281  1.5e-128  426.5  66.8   4   4   1.1e-83   5.5e-81  270.5  27.6    60   281   574   816   566   816 0.76 | transcript=PVX_118015.1 | gene=PVX_118015 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr12:2327219-2329857(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   1   6     0.018       9.2    4.0   0.6   146   271     5   129     1   139 0.54 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   2   6       7.7   3.9e+03   -4.6   3.6   124   193   245   321   187   330 0.65 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   3   6       7.6   3.8e+03   -4.6   4.5   120   197   281   360   265   366 0.65 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   4   6   1.3e-07   6.8e-05   20.8   0.0    29    72   420   464   413   474 0.90 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   5   6   1.3e-09   6.7e-07   27.4   3.0    19   128   608   720   592   757 0.57 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 9467at5820           -            281   4.5e-10   37.8   5.9   6   6     0.052        26    2.5   0.3    53    93   813   857   785   888 0.69 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 9467at5820           -            281   4.2e-07   28.0   6.9   1   4      0.27   1.3e+02    0.1   0.0    50    68   248   266   224   285 0.83 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
