#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   1   9   7.1e-88   3.9e-84  281.6  24.7     2   153    10   165     9   178 0.95 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   2   9   3.6e-32     2e-28   97.1   4.8   148   207   224   283   216   302 0.88 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   3   9  1.1e-229  5.9e-226  751.1  59.1   209   594   423   826   416   832 0.96 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   4   9   1.2e-75   6.7e-72  241.1  19.5   593   749   905  1070   881  1076 0.93 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   5   9     6e-17   3.3e-13   46.7   0.0   752   798  1129  1176  1105  1190 0.78 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   6   9   1.1e-85   5.9e-82  274.3  10.6   802   957  1241  1399  1225  1406 0.95 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   7   9   9.1e-22     5e-18   62.7   0.2   957  1001  1440  1487  1431  1509 0.82 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   8   9   0.00015      0.81    5.7   0.0  1006  1031  1563  1597  1548  1603 0.76 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117965.1-p1      -           1841 1374at5820           -           1085         0 1788.8 171.5   9   9   4.1e-22   2.3e-18   63.8   3.1  1035  1085  1791  1841  1757  1841 0.87 | transcript=PVX_117965.1 | gene=PVX_117965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2294299-2299990(+) | protein_length=1841 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1374at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:13 2026
# [ok]
