#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117360.1-p1      -           1071 1552at5820           -            902         0 1844.9  36.4   1   3  4.9e-303  3.9e-300  996.3  10.8     1   451    31   490    31   496 0.99 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1552at5820           -            902         0 1844.9  36.4   2   3  8.8e-166  6.9e-163  542.1   1.1   440   705   508   796   505   801 0.93 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117360.1-p1      -           1071 1552at5820           -            902         0 1844.9  36.4   3   3   4.8e-98   3.8e-95  318.0   9.4   701   902   839  1071   833  1071 0.93 | transcript=PVX_117360.1 | gene=PVX_117360 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr12:1823889-1827104(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1552at5820           -            902   7.7e-36  121.7  23.6   1   2   7.5e-12   5.9e-09   32.8   1.8    16   203    76   268    66   277 0.83 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082575.1-p1      -           1206 1552at5820           -            902   7.7e-36  121.7  23.6   2   2   1.1e-28   8.4e-26   88.5  14.3   250   736   397   906   391   915 0.73 | transcript=PVX_082575.1 | gene=PVX_082575 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr12:827063-830683(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 1552at5820           -            902   7.9e-20   68.8   0.3   1   4   5.7e-18   4.5e-15   53.0   0.0    30   200   258   423   228   430 0.85 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 1552at5820           -            902   7.9e-20   68.8   0.3   2   4      0.28   2.2e+02   -2.2   0.0   397   436   700   739   661   740 0.78 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 1552at5820           -            902   7.9e-20   68.8   0.3   3   4   1.8e-05     0.014   11.7   0.0   464   524   813   877   799   881 0.75 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119665.1-p1      -           1298 1552at5820           -            902   7.9e-20   68.8   0.3   4   4      0.21   1.7e+02   -1.8   0.0   530   553   920   943   917   957 0.86 | transcript=PVX_119665.1 | gene=PVX_119665 | organism=Plasmodium_vivax_Sal-1 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=Pv_Sal1_chr08:1287171-1291206(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   1   6   7.9e-07   0.00062   16.2   1.6    31   101   213   284   186   289 0.78 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   2   6      0.42   3.3e+02   -2.8   0.1   141   192   396   447   363   453 0.77 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   3   6    0.0045       3.5    3.8   0.0   275   308   621   654   597   675 0.82 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   4   6     5e-06    0.0039   13.5   0.4   377   437   833   894   819   906 0.77 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   5   6      0.18   1.4e+02   -1.5   0.1   540   592   974  1026   965  1029 0.91 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123885.1-p1      -           1607 1552at5820           -            902   9.7e-15   51.9  18.0   6   6   5.1e-10     4e-07   26.7   0.1   524   734  1146  1392  1136  1417 0.73 | transcript=PVX_123885.1 | gene=PVX_123885 | organism=Plasmodium_vivax_Sal-1 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=Pv_Sal1_chr14:1868389-1873686(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1552at5820           -            902   1.7e-08   31.3   2.5   1   3   1.2e-07   9.4e-05   18.9   0.4    36   197   151   295   144   313 0.80 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1552at5820           -            902   1.7e-08   31.3   2.5   2   3     0.021        16    1.6   0.0   415   433   601   619   588   624 0.89 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1552at5820           -            902   1.7e-08   31.3   2.5   3   3   0.00055      0.43    6.8   0.0   541   561   917   937   910   950 0.86 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
