#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   1  39   1.5e-49     9e-47  156.3   2.1     1    81     1    81     1    88 0.98 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   2  39  1.4e-199  8.8e-197  654.3  33.9    80   421   137   484   133   489 0.98 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   3  39  6.7e-100   4.1e-97  323.4  10.7   426   593   750   920   744   937 0.97 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   4  39  1.7e-227    1e-224  746.9  37.5   598   963   980  1361   968  1366 0.96 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   5  39  9.9e-129  6.1e-126  419.1  18.5   956  1184  1390  1618  1387  1620 0.99 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   6  39     5e-66   3.1e-63  211.0   0.7  1187  1304  1728  1859  1702  1869 0.91 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   7  39   6.3e-24   3.9e-21   71.2   0.3  1303  1357  1925  1980  1914  1996 0.92 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   8  39   2.4e-91   1.5e-88  295.0  16.5  1370  1533  2128  2305  2117  2310 0.92 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5   9  39   7.7e-60   4.7e-57  190.4   8.9  1528  1639  2454  2565  2449  2573 0.97 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  10  39   9.4e-33   5.8e-30  100.5   4.2  1621  1694  2581  2654  2572  2663 0.92 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  11  39  4.6e-126  2.8e-123  410.3  25.7  1696  1910  2752  2966  2745  2988 0.94 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  12  39     0.043        26   -1.2   0.5  1908  1925  3103  3121  3098  3126 0.89 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  13  39   7.8e-52   4.8e-49  163.9   8.8  1899  2017  3138  3253  3121  3258 0.83 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  14  39    0.0063       3.9    1.5   0.2  2008  2032  3282  3306  3276  3316 0.83 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  15  39   1.3e-48     8e-46  153.2   5.6  2030  2129  3410  3516  3397  3531 0.91 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  16  39   5.6e-45   3.4e-42  141.1   2.4  2123  2205  3580  3662  3570  3665 0.94 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  17  39   2.7e-81   1.7e-78  261.6   3.4  2202  2335  3754  3887  3730  3895 0.91 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  18  39   1.4e-86   8.4e-84  279.2   9.5  2335  2483  4036  4185  4032  4199 0.96 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  19  39   2.5e-17   1.5e-14   49.3   0.6  2478  2516  4307  4345  4299  4349 0.94 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  20  39   4.4e-52   2.7e-49  164.7  13.8  2516  2647  4404  4573  4398  4583 0.82 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  21  39   4.3e-92   2.6e-89  297.5  17.6  2646  2821  4701  4879  4693  4886 0.94 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  22  39         9   5.5e+03  -46.4  61.5  2895  2934  4889  4928  4877  4983 0.50 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  23  39         9   5.5e+03  -41.5  66.7  2787  2935  4924  5081  4923  5084 0.69 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  24  39         9   5.5e+03  -49.9  80.5  2799  2934  4965  5110  4963  5118 0.56 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  25  39     3e-41   1.8e-38  128.7  90.3  2774  2930  5093  5252  5085  5253 0.84 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  26  39     1e-43   6.4e-41  136.9  52.9  2899  3015  5245  5361  5245  5367 0.94 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  27  39     5e-20   3.1e-17   58.3   0.8  3011  3060  5672  5721  5664  5729 0.88 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  28  39   1.9e-07   0.00012   16.5   1.2  3059  3104  5817  5862  5796  5890 0.80 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  29  39   7.4e-05     0.046    7.9   8.1  3109  3140  5928  5959  5892  5970 0.86 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  30  39   1.2e-33   7.6e-31  103.5   2.8  3120  3206  6031  6121  6008  6129 0.84 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 24at5820             -           4512         0 7730.9 813.5  31  39   5.7e-51   3.5e-48  161.0   1.2  3203  3303  6264  6368  6249  6378 0.93 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
