#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   1  10   8.9e-10   1.6e-06   25.1   0.1     2    33   188   219   187   227 0.90 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   2  10   4.6e-27   8.5e-24   82.2   2.6    39   104   259   327   253   331 0.91 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   3  10     0.013        23    1.4   0.3   108   131   388   411   387   436 0.67 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   4  10   9.1e-08   0.00017   18.4   1.2   121   169   445   500   412   510 0.70 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   5  10   1.8e-13   3.3e-10   37.3   1.5   169   215   598   645   596   678 0.76 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   6  10     0.068   1.3e+02   -1.0   0.0   220   243   685   710   668   729 0.80 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   7  10   1.1e-65   1.9e-62  209.9   6.0   209   368   734   898   692   904 0.80 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   8  10     1e-21   1.9e-18   64.5   3.3   363   408   944   989   938   999 0.88 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9   9  10   2.6e-58   4.7e-55  185.5   3.6   406   530  1043  1175  1031  1192 0.90 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113930.1-p1      -           1387 2198at5820           -            663    4e-239  793.7  74.9  10  10     5e-65   9.1e-62  207.7   3.1   537   663  1241  1384  1230  1384 0.85 | transcript=PVX_113930.1 | gene=PVX_113930 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1376175-1380338(+) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 2198at5820           -            663   2.5e-07   27.8   2.4   1   2   4.6e-09   8.4e-06   22.7   0.1   319   351   615   647   515   666 0.75 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
