#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081630.1-p1      -           3000 267at5820            -           2203         0 3803.9 179.3   1   4  9.7e-211  1.3e-207  690.8  32.7     1   437     1   483     1   510 0.80 | transcript=PVX_081630.1 | gene=PVX_081630 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | location=Pv_Sal1_chr02:514486-523964(-) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081630.1-p1      -           3000 267at5820            -           2203         0 3803.9 179.3   2   4         0         0 1860.5  81.5   318  1435   461  1863   452  1883 0.87 | transcript=PVX_081630.1 | gene=PVX_081630 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | location=Pv_Sal1_chr02:514486-523964(-) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081630.1-p1      -           3000 267at5820            -           2203         0 3803.9 179.3   3   4     3e-73   4.2e-70  234.8  32.0  1433  1665  1937  2228  1931  2266 0.82 | transcript=PVX_081630.1 | gene=PVX_081630 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | location=Pv_Sal1_chr02:514486-523964(-) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081630.1-p1      -           3000 267at5820            -           2203         0 3803.9 179.3   4   4         0         0 1030.3  14.9  1667  2203  2436  3000  2398  3000 0.86 | transcript=PVX_081630.1 | gene=PVX_081630 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase family 2, putative | location=Pv_Sal1_chr02:514486-523964(-) | protein_length=3000 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 267at5820            -           2203   3.4e-08   29.5   8.5   1   3         4   5.5e+03   -9.3  11.7   359   479   317   436   293   445 0.32 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 267at5820            -           2203   3.4e-08   29.5   8.5   2   3   2.4e-11   3.4e-08   29.5   8.5   663   811   709   855   696   862 0.89 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 267at5820            -           2203   3.4e-08   29.5   8.5   3   3    0.0067       9.2    1.5   0.7   829   864  1112  1146  1094  1154 0.80 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116750.1-p1      -            416 267at5820            -           2203       7.1    1.8  40.5   1   1    0.0066       9.2    1.5  40.5   327   581   106   378    72   382 0.38 | transcript=PVX_116750.1 | gene=PVX_116750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:1240224-1241811(-) | protein_length=416 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081440.1-p1      -            292 267at5820            -           2203       8.6    1.6  15.6   1   1    0.0077        11    1.3  15.6   306   398    71   158    64   183 0.52 | transcript=PVX_081440.1 | gene=PVX_081440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:344250-345128(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/267at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/267at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/267at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:20 2026
# [ok]
