#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   1   9   1.4e-56     4e-53  178.8  10.8     1   109     1   110     1   134 0.94 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   2   9  9.4e-168  2.6e-164  547.0  21.1    95   373   149   428   139   431 0.97 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   3   9  2.6e-163  7.3e-160  532.3  43.1   360   645   485   815   479   819 0.94 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   4   9   1.3e-30   3.5e-27   92.8   1.6   637   706   832   901   829   914 0.90 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   5   9  4.5e-225  1.3e-221  736.9  55.6   670  1064   908  1341   900  1348 0.90 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   6   9   6.5e-34   1.8e-30  103.7   7.8  1058  1124  1360  1426  1352  1460 0.90 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   7   9   3.7e-05       0.1    8.5   0.5  1118  1140  1474  1496  1463  1547 0.76 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   8   9   1.9e-08   5.2e-05   19.4   0.4  1142  1176  1613  1658  1603  1672 0.80 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118310.1-p1      -           1862 775at5820            -           1195         0 2201.5 202.2   9   9   4.4e-06     0.012   11.6   3.3  1139  1195  1745  1803  1732  1803 0.72 | transcript=PVX_118310.1 | gene=PVX_118310 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr12:2589311-2594899(+) | protein_length=1862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087040.1-p1      -           1301 775at5820            -           1195   0.00025   17.2  17.4   1   2    0.0019       5.2    2.8   2.5   182   272   598   694   563   708 0.70 | transcript=PVX_087040.1 | gene=PVX_087040 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr07:1283305-1287210(-) | protein_length=1301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087040.1-p1      -           1301 775at5820            -           1195   0.00025   17.2  17.4   2   2   8.9e-08   0.00025   17.2  17.4   874  1017   882  1025   807  1028 0.92 | transcript=PVX_087040.1 | gene=PVX_087040 | organism=Plasmodium_vivax_Sal-1 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=Pv_Sal1_chr07:1283305-1287210(-) | protein_length=1301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
