#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   1  10     5e-93   2.7e-89  298.6   1.9     1   163     1   180     1   189 0.91 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   2  10   2.1e-76   1.2e-72  243.5   0.7   162   292   256   386   252   389 0.97 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   3  10  5.5e-148    3e-144  480.6   4.6   292   508   438   666   435   669 0.95 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   4  10   8.8e-19   4.8e-15   52.7   0.7   505   567   755   816   739   824 0.87 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   5  10     1e-79   5.6e-76  254.5   0.5   545   694   824   979   811  1001 0.92 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   6  10   1.9e-49   1.1e-45  154.2   0.1   708   802  1197  1291  1190  1305 0.92 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   7  10   7.6e-15   4.2e-11   39.7   0.1   795   835  1381  1429  1374  1433 0.84 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   8  10   6.1e-56   3.4e-52  175.7   1.6   833   947  1467  1583  1460  1595 0.94 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5   9  10   1.5e-05     0.081    8.9   0.1   942   964  1627  1649  1624  1654 0.92 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093610.1-p1      -           1896 958at5820            -           1125         0 1928.6  69.5  10  10   3.3e-81   1.8e-77  259.4   5.0   962  1125  1722  1896  1712  1896 0.92 | transcript=PVX_093610.1 | gene=PVX_093610 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylyl cyclase beta, putative | transcript_product=adenylyl cyclase beta, putative | location=Pv_Sal1_chr01:678286-684855(-) | protein_length=1896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
